"n","target_r2","achieved_r2_raw","ss","setting","Estimator","Procedure","ModelSpec","mean_estimate","mean_bias","mean_n_obs","sd_estimate","std_bias"
200,0.4,0.4,49.2792739281051,"setting_one","lm_interact","single_stage","m1",49.6915604625104,-0.308439537489577,100.13,12.4986512538946,-0.0246778257288735
200,0.4,0.4,49.2792739281051,"setting_one","lm","single_stage","m1",50.0902234004899,0.0902234004899002,100.13,10.4738400332942,0.00861416636143936
200,0.4,0.4,49.2792739281051,"setting_one","rf","single_stage","m1",32.8049632706061,-17.1950367293939,100.13,11.1078958611741,-1.54800125462973
200,0.4,0.4,49.2792739281051,"setting_one","super","single_stage","m1",47.3658296175993,-2.63417038240069,100.13,10.7444220128333,-0.245166317858178
200,0.4,0.4,49.2792739281051,"setting_one","unadj","single_stage","m1",50.4444328135058,0.444432813505751,100.13,12.3109805583334,0.0361005211079561
200,0.4,0.4,49.2792739281051,"setting_one","xgboost","single_stage","m1",43.7342936781029,-6.26570632189713,100.13,12.2399330597363,-0.511906910872609
200,0.6,0.600000000000001,29.937716151218,"setting_one","bart","single_stage","m1",48.491293095248,-1.50870690475202,99.959,6.83580912577767,-0.220706411924629
200,0.6,0.600000000000001,29.937716151218,"setting_one","correct_model","single_stage","m1",50.0206193354842,0.0206193354842182,99.959,6.03801195403783,0.00341492127560782
200,0.6,0.600000000000001,29.937716151218,"setting_one","lm_interact","single_stage","m1",50.2526470493543,0.252647049354256,99.959,9.21658800970299,0.0274122103633444
200,0.6,0.600000000000001,29.937716151218,"setting_one","lm","single_stage","m1",50.1282907565212,0.128290756521242,99.959,6.90619205542214,0.0185761930006738
200,0.6,0.600000000000001,29.937716151218,"setting_one","rf","single_stage","m1",36.0938010929548,-13.9061989070451,99.959,8.44209087765153,-1.64724581961781
200,0.6,0.600000000000001,29.937716151218,"setting_one","super","single_stage","m1",48.1669214663159,-1.83307853368409,99.959,7.04614033837425,-0.260153565733129
200,0.6,0.600000000000001,29.937716151218,"setting_one","unadj","single_stage","m1",50.2052574041368,0.205257404136787,99.959,9.43494577130164,0.0217550168397491
200,0.6,0.600000000000001,29.937716151218,"setting_one","xgboost","single_stage","m1",45.1456327632713,-4.85436723672867,99.959,8.51097217824095,-0.570365774328259
200,0.8,0.800000000000005,12.5217195602503,"setting_one","bart","single_stage","m1",49.2178534119114,-0.782146588088605,99.949,3.99458554838702,-0.195801686711762
200,0.8,0.800000000000005,12.5217195602503,"setting_one","correct_model","single_stage","m1",50.103728615259,0.103728615259036,99.949,2.64403575113269,0.0392311697050992
200,0.8,0.800000000000005,12.5217195602503,"setting_one","lm_interact","single_stage","m1",49.8302949879682,-0.169705012031819,99.949,5.82241405049898,-0.0291468470912465
200,0.8,0.800000000000005,12.5217195602503,"setting_one","lm","single_stage","m1",49.9772323208945,-0.0227676791054939,99.949,4.01920436583286,-0.00566472292353214
200,0.8,0.800000000000005,12.5217195602503,"setting_one","rf","single_stage","m1",38.1079268912891,-11.8920731087109,99.949,5.69122229610432,-2.08954640848437
200,0.8,0.800000000000005,12.5217195602503,"setting_one","super","single_stage","m1",48.8884589982056,-1.11154100179438,99.949,3.99957139340614,-0.277915029502141
200,0.8,0.800000000000005,12.5217195602503,"setting_one","unadj","single_stage","m1",49.7998126103823,-0.200187389617654,99.949,7.60695394463497,-0.0263163667184869
200,0.8,0.800000000000005,12.5217195602503,"setting_one","xgboost","single_stage","m1",45.9878897574997,-4.0121102425003,99.949,5.35434834858783,-0.749318120767855
2000,0.2,0.200000000000002,80.4848587201638,"setting_one","bart","single_stage","m1",49.896922944108,-0.103077055892037,997.995,5.33995797505089,-0.0193029713667465
2000,0.2,0.200000000000002,80.4848587201638,"setting_one","correct_model","single_stage","m1",50.1287908458857,0.12879084588569,997.995,5.05278855897314,0.0254890629961099
2000,0.2,0.200000000000002,80.4848587201638,"setting_one","lm_interact","single_stage","m1",50.0855812163125,0.0855812163124856,997.995,6.02348228979413,0.01420793026278
2000,0.2,0.200000000000002,80.4848587201638,"setting_one","lm","single_stage","m1",50.1596887292791,0.159688729279146,997.995,5.13002584269946,0.0311282504563597
2000,0.2,0.200000000000002,80.4848587201638,"setting_one","rf","single_stage","m1",45.8613994981907,-4.13860050180932,997.995,6.16827515822698,-0.670949397626893
