"replicate","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95","Estimator"
11,43.6011924051887,-6.39880759481128,3.06717591284509,-0.069556454859871,43.6707488600486,37.5896380817636,49.6127467286139,37.6591945366235,49.6823031834737,0,0,1,1,1.39920997619629,1.40438508987427,0,"lm"
12,49.6447729837295,-0.355227016270518,3.17550074366736,-0.223786391792089,49.8685593755216,43.4209058932613,55.8686400741977,43.6446922850534,56.0924264659898,1,1,0,1,1.4041690826416,1.40953683853149,1,"lm"
13,49.7181123798929,-0.281887620107092,2.9669497441385,0.154692674990997,49.5634197049019,43.9029977374411,55.5332270223447,43.7483050624501,55.3785343473537,1,1,0,1,1.42406415939331,1.42937803268433,1,"lm"
14,53.2842928588519,3.28429285885193,3.3411224062034,-0.552475073328139,53.8367679321801,46.7358132747535,59.8327724429504,47.2882883480816,60.3852475162785,1,1,0,1,1.39472794532776,1.39987802505493,1,"lm"
15,46.9910652004191,-3.00893479958088,3.3340869715747,0.261190883618866,46.7298743168003,40.4563748148085,53.5257555860297,40.1951839311896,53.2645647024109,1,1,0,1,1.49645495414734,1.50654482841492,1,"lm"
16,56.4956227146653,6.49562271466532,3.25080180071549,0.441336607174684,56.0542861074906,50.124168264385,62.8670771649456,49.6828316572103,62.425740557771,0,1,1,1,1.40344381332397,1.40862703323364,1,"lm"
17,51.9636941362052,1.96369413620518,3.54417104084997,-0.347048150215919,52.3107422864211,45.0172465410894,58.910141731321,45.3642946913053,59.2571898815369,1,1,0,1,1.41468000411987,1.41993594169617,1,"lm"
18,49.7676675972159,-0.232332402784145,3.22144648604889,0.282001739775538,49.4856658574403,43.4537485064369,56.0815866879948,43.1717467666614,55.7995849482192,1,1,0,1,1.40421891212463,1.40938305854797,1,"lm"
19,53.8633179145174,3.86331791451742,3.72177249191312,0.239014329953022,53.6243035845644,46.5687778717158,61.157857957319,46.3297635417628,60.918843627366,1,1,0,1,1.3973560333252,1.40256690979004,1,"lm"
20,45.9678739909819,-4.03212600901806,3.02627384114548,-0.393036495216727,46.3609104861987,40.0364862549811,51.8992617269828,40.4295227501978,52.2922982221995,1,1,0,1,1.4353289604187,1.44167494773865,1,"lm"
21,47.8683443770526,-2.13165562294738,2.89804307812739,0.349512773859701,47.5188316031929,42.1882843182773,53.5484044358279,41.8387715444176,53.1988916619682,1,1,0,1,1.4198169708252,1.42497611045837,1,"lm"
22,46.4287783150711,-3.57122168492889,3.03607663924805,-0.113130831668158,46.5419091467393,40.4781774478415,52.3793791823007,40.5913082795097,52.4925100139689,1,1,0,1,1.44261407852173,1.44789004325867,1,"lm"
23,49.8772755144081,-0.122724485591903,3.16111179529901,-0.0142311868010481,49.8915067012091,43.6816102445173,56.0729407842989,43.6958414313183,56.0871719711,1,1,0,1,1.41860699653625,1.42395186424255,1,"lm"
24,49.9260834525529,-0.0739165474471264,2.98429795057643,-0.338792825702932,50.2648762782558,44.0769669502864,55.7751999548194,44.4157597759893,56.1139927805223,1,1,0,1,1.49731588363647,1.50246906280518,1,"lm"
25,46.6053223429546,-3.39467765704544,3.14057317612688,-0.260639255015455,46.86596159797,40.4499120269333,52.7607326589758,40.7105512819488,53.0213719139913,1,1,0,1,1.38882684707642,1.39402890205383,1,"lm"
26,47.6507056330341,-2.34929436696594,3.13295947505725,0.288100247575741,47.3626053854583,41.5102178968983,53.7911933691698,41.2221176493226,53.5030931215941,1,1,0,1,1.41428995132446,1.4206919670105,1,"lm"
27,46.3863289221532,-3.61367107784679,3.15876587576646,-0.340705224101768,46.727034146255,40.1952615700568,52.5773962742496,40.5359667941586,52.9181014983514,1,1,0,1,1.45768404006958,1.46286487579346,1,"lm"
28,55.0353512596211,5.03535125962107,3.36800549425315,-0.00807517341785768,55.0434264330389,48.4341817911519,61.6365207280903,48.4422569645697,61.6445959015081,1,1,0,1,1.41531991958618,1.42050099372864,1,"lm"
29,56.1487218079898,6.14872180798977,3.66730769781621,0.0509384292857717,56.097783378704,48.9609308000435,63.336512815936,48.9099923707577,63.2855743866503,1,1,0,1,1.41488099098206,1.42018699645996,1,"lm"
30,46.9197823634323,-3.08021763656773,2.84582654767463,-0.0488642125044976,46.9686465759368,41.342064823742,52.4974999031225,41.3909290362465,52.546364115627,1,1,0,1,1.4190399646759,1.42437100410461,1,"lm"
31,52.7709762331647,2.77097623316473,3.07543257115518,0.414270748690441,52.3567054844743,46.7432391568192,58.7987133095103,46.3289684081287,58.3844425608199,1,1,0,1,1.41873908042908,1.42499899864197,1,"lm"
32,51.6019019034858,1.60190190348581,3.33703066258752,-0.13450881458462,51.7364107180704,45.0614419895084,58.1423618174632,45.1959508040931,58.2768706320478,1,1,0,1,1.43637490272522,1.44172883033752,1,"lm"
33,51.6438836394542,1.64388363945419,3.34574842466771,-0.42628372081451,52.0701673602687,45.0863372257739,58.2014300531345,45.5126209465884,58.627713773949,1,1,0,1,1.56878614425659,1.57403492927551,1,"lm"
34,49.8141135442881,-0.185886455711902,3.19374244649006,0.0128084832380537,49.80130506105,43.5544933732707,56.0737337153055,43.5416848900327,56.0609252320674,1,1,0,1,1.39926600456238,1.40442299842834,1,"lm"
35,52.0027967743864,2.0027967743864,3.25920093286865,-0.441663146871335,52.4444599212577,45.6148803275845,58.3907132211883,46.0565434744558,58.8323763680596,1,1,0,1,1.40609192848206,1.41130685806274,1,"lm"
36,50.9153577272507,0.915357727250729,3.37104347365622,-0.164066439775524,51.0794241670263,44.3082339285657,57.5224815259357,44.4723003683413,57.6865479657112,1,1,0,1,1.42997217178345,1.4352400302887,1,"lm"
37,54.615495239695,4.61549523969503,3.32422804504802,0.0895731972975611,54.5259220423975,48.1001279950029,61.1308624843871,48.0105547977054,61.0412892870896,1,1,0,1,1.42429995536804,1.42963004112244,1,"lm"
38,46.46197903722,-3.53802096277999,3.29449696210582,-0.134021457751203,46.5960004949712,40.004883644316,52.919074430124,40.1389051020672,53.0530958878752,1,1,0,1,1.41557908058167,1.42076992988586,1,"lm"
