"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec"
23,"rf",44.4162296097976,-5.58377039020242,3.51809800013823,-0.67156355692515,45.0877931667227,37.5208842354442,51.3115749841509,38.1924477923694,51.983138541076,1,1,0,1,105.22274684906,105.71946310997
24,"rf",46.2210566606377,-3.77894333936226,3.75011561558466,-2.33178335160656,48.5528400122443,38.8709651162306,53.5711482050449,41.2027484678371,55.9029315566515,1,1,0,1,98.3909981250763,98.8731260299683
25,"rf",40.4550225564717,-9.54497744352827,3.81996468182639,-0.0735573282962463,40.528579884768,32.968029357877,47.9420157550665,33.0415866861732,48.0155730833627,0,0,1,1,97.9168961048126,98.4177439212799
26,"rf",44.2049612279514,-5.79503877204861,3.59024058658956,-1.25559397168112,45.4605551996325,37.1682189824019,51.2417034735009,38.423812954083,52.497297445182,1,1,0,1,103.364250898361,103.840059995651
27,"rf",42.1152817330807,-7.88471826691931,3.55005186373801,0.699318440437644,41.415963292643,35.1573079369049,49.0732555292565,34.4579894964672,48.3739370888188,0,0,1,1,105.01785492897,105.450436115265
28,"rf",53.3877102565751,3.38771025657511,3.56774252091957,-3.84392526922645,57.2316355258016,46.3950634094606,60.3803571036896,50.2389886786871,64.2242823729161,1,0,0,1,98.2671840190887,98.6882030963898
29,"rf",52.2997675747584,2.29976757475841,3.97293690992463,-1.27395039869471,53.5737179734531,44.5129543184563,60.0865808310605,45.786904717151,61.3605312297552,1,1,0,1,98.866231918335,99.3231689929962
3,"rf",45.1139228705687,-4.88607712943132,3.5314271139991,-1.0951988235676,46.2091216941363,38.1924529131022,52.0353928280351,39.2876517366698,53.1305916516027,1,1,0,1,97.655247926712,98.2112641334534
30,"rf",41.2497742454411,-8.75022575455886,2.94446528355957,0.293575040828756,40.9561992046124,35.4787283359359,47.0208201549464,35.1851532951071,46.7272451141176,0,0,1,1,98.6907911300659,99.1091630458832
31,"rf",50.7088189431886,0.708818943188611,3.56243678000811,-1.41150757085637,52.120326514045,43.7265711571719,57.6910667292053,45.1380787280282,59.1025743000617,1,1,0,1,104.402583122253,104.826695203781
32,"rf",47.5803163438732,-2.41968365612676,3.62318208974804,1.41188641797721,46.168429925896,40.4790099385365,54.68162274921,39.0671235205593,53.2697363312327,1,1,0,1,100.00145983696,100.427453994751
33,"rf",46.9321953710301,-3.06780462896992,3.60958259011497,-1.57147220274294,48.503667573773,39.8575434951819,54.0068472468782,41.4290156979249,55.5783194496212,1,1,0,1,98.1184029579163,98.5347149372101
34,"rf",44.0723248548971,-5.92767514510285,3.81619113034319,0.038384490879146,44.033940364018,36.5927276813033,51.551922028491,36.5543431904242,51.5135375376118,1,1,0,1,104.433152914047,104.843519926071
35,"rf",49.3221619434124,-0.677838056587603,3.89400203530945,-1.57982735515359,50.901989298566,41.6900581984802,56.9542656883446,43.2698855536338,58.5340930434982,1,1,0,1,97.6414489746094,98.0994648933411
36,"rf",44.9919960358791,-5.00800396412088,4.13152745996924,-1.78019551533941,46.7721915512185,36.8943510132012,53.0896410585571,38.6745465285406,54.8698365738965,1,1,0,1,96.2288191318512,96.7163710594177
37,"rf",52.3340569573822,2.33405695738218,4.16683528126188,-1.87929572614338,54.2133526835256,44.1672098765981,60.5009040381663,46.0465056027414,62.3801997643097,1,1,0,1,103.973896026611,104.40541601181
38,"rf",41.229718684876,-8.77028131512402,4.38827174825349,-0.62564522846948,41.8553639133455,32.6288641039245,49.8305732658274,33.254509332394,50.4562184942969,0,1,1,1,103.140114068985,103.578495979309
39,"rf",49.372136307871,-0.627863692129011,3.7406741874084,-1.80650357907886,51.1786398869499,42.0405496226519,56.7037229930901,43.8470532017308,58.510226572169,1,1,0,1,96.4035940170288,96.8807899951935
4,"rf",45.6815572666275,-4.31844273337255,3.76683581637164,-1.81323252588793,47.4947897925154,38.2986947308635,53.0644198023914,40.1119272567514,54.8776523282793,1,1,0,1,102.06519818306,102.626251935959
40,"rf",44.5583100435377,-5.44168995646226,3.2893941234406,-0.992206339768956,45.5505163833067,38.1112160306365,51.005404056439,39.1034223704054,51.997610396208,1,1,0,1,96.5288290977478,96.9628992080688
