"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
96,"lm_interact",51.3764439511275,1.37644395112749,3.18236300341005,1.49679358989771,49.8796503612298,45.1391270787111,57.6137608235439,43.6423334888134,56.1169672336462,1,1,0,1,2.03997397422791,2.04596090316772,1
97,"lm_interact",49.4506445329738,-0.549355467026238,3.19817958456256,0.590366956037109,48.8602775769367,43.1823277311399,55.7189613348077,42.5919607751028,55.1285943787705,1,1,0,1,1.91569900512695,1.92317986488342,1
98,"lm_interact",55.4589867399158,5.45898673991582,3.45102461184059,-0.174970660009976,55.6339573999258,48.695102790947,62.2228706888847,48.8700734509569,62.3978413488947,1,1,0,1,1.91414713859558,1.91988801956177,1
99,"lm_interact",50.9902912645466,0.990291264546578,3.39414163740399,0.40336334351877,50.5869279210278,44.337895896807,57.6426866322862,43.9345325532882,57.2393232887674,1,1,0,1,1.93779802322388,1.94866108894348,1
100,"lm_interact",45.4923816650947,-4.50761833490525,3.1354059214913,-0.118870032862802,45.6112516979575,39.3470989820582,51.6376643481313,39.465969014921,51.7565343809941,1,1,0,1,2.03082609176636,2.03694987297058,1
101,"lm_interact",49.8967471761707,-0.103252823829315,3.14326475730806,-0.740485399557286,50.637232575728,43.7360614579729,56.0574328943685,44.4765468575301,56.7979182939258,1,1,0,1,2.09611487388611,2.10267496109009,1
102,"lm_interact",47.8354179377574,-2.16458206224264,3.01124596028162,0.401481555720288,47.4339363820371,41.9334843070136,53.7373515685011,41.5320027512934,53.3358700127808,1,1,0,1,2.10267806053162,2.10961699485779,1
103,"lm_interact",52.2380049083031,2.23800490830309,3.24256710614744,-0.465966812127583,52.7039717204307,45.8826901627998,58.5933196538063,46.3486569749274,59.0592864659339,1,1,0,1,2.09315299987793,2.09918713569641,1
104,"lm_interact",51.5036799826279,1.50367998262792,3.06570559800556,0.724759128419329,50.7789208542086,45.4950074233342,57.5123525419216,44.7702482949149,56.7875934135023,1,1,0,1,2.09493207931519,2.10081100463867,1
105,"lm_interact",50.3096797825792,0.309679782579181,2.95518827613286,0.90967242928344,49.4000073532957,44.5176171938238,56.1017423713346,43.6079447645403,55.1920699420511,1,1,0,1,2.10039496421814,2.10955095291138,1
106,"lm_interact",52.609104655987,2.60910465598705,3.42416150883538,-0.306544977230033,52.9156496332171,45.8978714214214,59.3203378905527,46.2044163986514,59.6268828677828,1,1,0,1,2.08330917358398,2.0893030166626,1
107,"lm_interact",47.5130633122281,-2.48693668777186,3.02087408142334,-0.157294321371431,47.6703576335996,41.5922589108079,53.4338677136484,41.7495532321793,53.5911620350198,1,1,0,1,2.16446900367737,2.17038083076477,1
108,"lm_interact",53.3359354030206,3.33593540302057,3.04977663293892,-0.522658721939607,53.8585941249602,47.3584830415685,59.3133877644727,47.8811417635081,59.8360464864123,1,1,0,1,2.05690002441406,2.0675151348114,1
109,"lm_interact",47.5617085976194,-2.43829140238062,2.82552623844421,-0.165113336097711,47.7268219337171,42.0237789328958,53.099638262343,42.1888922689935,53.2647515984407,1,1,0,1,2.06266021728516,2.06860399246216,1
110,"lm_interact",47.9775615786264,-2.02243842137361,3.22730736887478,0.541210264325336,47.436351314301,41.6521553685911,54.3029677886617,41.1109451042658,53.7617575243363,1,1,0,1,2.10133790969849,2.10707402229309,1
111,"lm_interact",48.8805028373479,-1.11949716265215,3.32335744924773,-0.539295917432746,49.4197987547806,42.3668419290694,55.3941637456263,42.9061378465021,55.9334596630591,1,1,0,1,2.214280128479,2.22237515449524,1
112,"lm_interact",49.772052226804,-0.227947773195957,3.03485254248405,-0.299599015103141,50.0716512419072,43.8238505451455,55.7202539084626,44.1234495602486,56.0198529235657,1,1,0,1,2.19407391548157,2.20035099983215,1
113,"lm_interact",50.0235372261903,0.0235372261902924,3.6159168744369,0.662995028372713,49.3605421978176,42.9364703812033,57.1106040711773,42.2734753528306,56.4476090428045,1,1,0,1,2.27308988571167,2.28506088256836,1
114,"lm_interact",54.5778531905647,4.57785319056474,3.2898705073829,-0.522452263143542,55.1003054537083,48.1298254822937,61.0258808988357,48.6522777454373,61.5483331619793,1,1,0,1,2.31543207168579,2.32187294960022,1
115,"lm_interact",50.8831339200724,0.883133920072389,3.47522005493916,0.294416119721298,50.5887178003511,44.0718277740403,57.6944400661044,43.777411654319,57.4000239463832,1,1,0,1,2.26718401908875,2.27635788917542,1
116,"lm_interact",54.712233905743,4.71223390574299,3.65448709055913,-0.738236742306036,55.450470648049,47.5495708262805,61.8748969852055,48.2878075685866,62.6131337275115,1,1,0,1,2.25533604621887,2.26136684417725,1
117,"lm_interact",42.1256329845146,-7.8743670154854,3.16840795568008,0.0772066622078071,42.0484263223068,35.9156675030515,48.3355984659777,35.8384608408437,48.2583918037699,0,0,1,1,2.30580496788025,2.31197595596313,0
118,"lm_interact",45.7751272457327,-4.22487275426733,3.64892973016943,0.219074547656604,45.5560526980761,38.6233563924831,52.9268980989822,38.4042818448265,52.7078235513256,1,1,0,1,2.23301410675049,2.24232792854309,1
119,"lm_interact",55.5587094871288,5.55870948712879,3.35848540441625,1.64759521326261,53.9111142738662,48.9761990518695,62.1412199223881,47.3286038386069,60.4936247091255,1,1,0,1,2.31947803497314,2.32527589797974,1
120,"lm_interact",54.2167646166994,4.21676461669941,3.48765116116598,-0.289343108945324,54.5061077256447,47.3810939501748,61.052435283224,47.6704370591201,61.3417783921693,1,1,0,1,2.10535502433777,2.11219882965088,1
