"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
91,"lm",53.2760518558646,3.27605185586459,3.3394448127842,0.615209176978333,52.6608426788863,46.7308602944485,59.8212434172807,46.1156511174701,59.2060342403024,1,1,0,1,1.9424090385437,1.94971799850464,1
92,"lm",46.2443817840884,-3.75561821591155,3.10927512852848,0.00405006188739065,46.2403317222011,40.1503145141465,52.3384490540304,40.1462644522591,52.334398992143,1,1,0,1,3.19544506072998,3.21310901641846,1
93,"lm",52.1413191970251,2.14131919702507,3.23613817502153,-0.303874619391131,52.4451938164162,45.7986049249877,58.4840334690624,46.1024795443788,58.7879080884536,1,1,0,1,1.94687986373901,1.95502805709839,1
94,"lm",54.8893973805649,4.88939738056494,3.11104378298697,0.803896609285275,54.0855007712797,48.7918636115832,60.9869311495466,47.987967002298,60.1830345402614,1,1,0,1,2.30196905136108,2.30897402763367,1
95,"lm",50.2455286065962,0.245528606596238,3.14436532582908,-0.206750843757604,50.4522794503538,44.0826858137347,56.4083713994578,44.2894366574923,56.6151222432154,1,1,0,1,1.95135188102722,1.95816516876221,1
96,"lm",53.2551826147005,3.25518261470047,3.13966154311787,-0.478600204785479,53.733782819486,47.101559066544,59.408806162857,47.5801592713295,59.8874063676424,1,1,0,1,2.21438097953796,2.22101593017578,1
97,"lm",50.2956296292981,0.295629629298126,3.19511269200676,-0.101713743591233,50.3973433728894,44.0333238264181,56.5579354321782,44.1350375700093,56.6596491757694,1,1,0,1,1.96067500114441,1.96764397621155,1
98,"lm",55.201811406446,5.20181140644597,3.495694952079,0.0526062683566408,55.1492051380893,48.3503751994327,62.0532476134593,48.297768931076,62.0006413451026,1,1,0,1,1.93661284446716,1.94345808029175,1
99,"lm",52.085171071464,2.08517107146399,3.36074872193972,-0.638919004718431,52.7240900761824,45.4982246153731,58.6721175275549,46.1371436200916,59.3110365322733,1,1,0,1,3.4294261932373,3.4386739730835,1
100,"lm",45.6207873980298,-4.3792126019702,3.10473533638306,-0.230227924517592,45.8510153225474,39.5356179571902,51.7059568388694,39.7658458817078,51.936184763387,1,1,0,1,2.01340985298157,2.02061486244202,1
101,"lm",48.8589051032138,-1.14109489678619,3.08681876151177,0.206812846377048,48.6520922568368,42.8088515038482,54.9089587025794,42.6020386574712,54.7021458562024,1,1,0,1,1.98326897621155,1.99050498008728,1
102,"lm",48.2131434116111,-1.78685658838889,2.97602373655178,0.100987915126233,48.1121554964849,42.3802440708333,54.0460427523889,42.2792561557071,53.9450548372627,1,1,0,1,1.99486804008484,2.00217795372009,1
103,"lm",51.7412434628931,1.7412434628931,3.2210738863017,0.0991318264706038,51.6421116364225,45.4280546541993,58.0544322715869,45.3289228277287,57.9553004451163,1,1,0,1,2.1703839302063,2.17721104621887,1
