"replicate","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95","Estimator"
51,42.8490775452508,-7.15092245474925,4.74147560220991,-0.408383290380385,43.2574608356311,33.555956131344,52.1421989591575,33.9643394217243,52.5505822495379,1,1,0,1,3.72391986846924,3.75012993812561,1,"lm"
52,51.2148366266551,1.21483662665507,4.79497813510985,-0.187461505820671,51.4022981324757,41.8168521751827,60.6128210781274,42.0043136810034,60.8002825839481,1,1,0,1,4.29938220977783,4.31807494163513,1,"lm"
53,61.025168044121,11.025168044121,5.78564328415014,0.110331963995797,60.9148360801252,49.6855155797907,72.3648205084513,49.5751836157949,72.2544885444555,1,1,0,1,4.58791089057922,4.60776591300964,1,"lm"
54,49.7584165185426,-0.241583481457383,5.26742080317582,-0.144876514843382,49.903293033386,39.434461452901,60.0823715841843,39.5793379677444,60.2272480990276,1,1,0,1,4.20697712898254,4.2242271900177,1,"lm"
55,57.2444251008179,7.24442510081786,6.16959858177609,0.213673466721204,57.0307516340967,45.1522340814673,69.3366161201684,44.9385606147461,69.1229426534472,1,1,0,1,4.11564803123474,4.13076996803284,1,"lm"
56,47.3651462255759,-2.63485377442406,4.72190708445005,0.921920329351202,46.4432258962247,38.1103784017093,56.6199140494426,37.1884580723581,55.6979937200914,1,1,0,1,3.78353786468506,3.80834698677063,1,"lm"
57,52.2765127698917,2.2765127698917,6.0640087808579,0.0643834232035019,52.2121293466882,40.3912739574756,64.1617515823078,40.3268905342721,64.0973681591043,1,1,0,1,4.50805401802063,4.52799201011658,1,"lm"
58,55.6847190079818,5.68471900798176,5.34931686786067,-0.417294350365857,56.1020133583476,45.2002506050822,66.1691874108813,45.6175449554481,66.5864817612471,1,1,0,1,4.35761904716492,4.38880300521851,1,"lm"
59,50.8968114385777,0.896811438577679,4.91163312765899,0.727696714656432,50.1691147239212,41.2701874030922,60.5234354740631,40.5424906884358,59.7957387594067,1,1,0,1,4.42612814903259,4.44040203094482,1,"lm"
60,53.5938851064348,3.59388510643475,4.67050033986503,-0.869913606288812,54.4637987127236,44.4398726505172,62.7478975623523,45.309786256806,63.6178111686411,1,1,0,1,4.05507588386536,4.07638883590698,1,"lm"
61,44.937422614823,-5.06257738517703,5.04231515602039,-0.300191123036704,45.2376137378597,35.0546665103226,54.8201787193234,35.3548576333593,55.1203698423601,1,1,0,1,4.09176111221313,4.11283707618713,1,"lm"
62,54.4497722098062,4.44977220980617,6.0093559949218,-0.151285499288328,54.6010577090945,42.6716508894796,66.2278935301328,42.8229363887679,66.3791790294211,1,1,0,1,4.33214783668518,4.34807705879211,1,"lm"
63,45.4979999119946,-4.50200008800539,5.07611707831586,0.435240830001852,45.0627590819928,35.5489932571869,55.4470065668024,35.113752427185,55.0117657368005,1,1,0,1,4.80095601081848,4.82633495330811,1,"lm"
64,50.7847292364714,0.784729236471428,5.38469192522287,-0.610688582625023,51.3954178190965,40.230926995191,61.3385314777519,40.841615577816,61.9492200603769,1,1,0,1,4.18405318260193,4.20405507087708,1,"lm"
65,45.4482883217182,-4.55171167828179,5.04718184063555,0.389704414026859,45.0585839076914,35.555993690648,55.3405829527885,35.1662892766211,54.9508785387616,1,1,0,1,4.2281699180603,4.24601197242737,1,"lm"
66,43.6144370602158,-6.38556293978423,5.65186281923414,0.231137873888017,43.3832991863278,32.5369894889559,54.6918846314757,32.3058516150678,54.4607467575877,1,1,0,1,4.1482720375061,4.17913508415222,1,"lm"
67,45.6532043756357,-4.34679562436427,4.56180304844716,-0.553776845646638,46.2069812212824,36.7122346961143,54.5941740551572,37.2660115417609,55.1479509008038,1,1,0,1,4.52071690559387,4.55030298233032,1,"lm"
68,45.5327852162768,-4.46721478372319,4.58881975613699,0.38996895300842,45.1428162632684,36.5388637627024,54.5267066698512,36.148894809694,54.1367377168427,1,1,0,1,4.30170893669128,4.32391881942749,1,"lm"
69,53.2979477483859,3.29794774838585,4.9039862096391,0.0545312201668651,53.243416528219,43.6863113968121,62.9095840999596,43.6317801766453,62.8550528797927,1,1,0,1,4.55148100852966,4.58561706542969,1,"lm"
70,56.0307247912952,6.03072479129519,5.56154211129637,-0.636497534297007,56.6672223255922,45.1303025546514,66.9311470279389,45.7668000889485,67.5676445622359,1,1,0,1,3.9717390537262,3.98543691635132,1,"lm"
