"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
78,"rf",40.0845320918515,-9.91546790814848,6.40360725577337,-1.37391338364147,41.458445475493,27.5336924993964,52.6353716843067,28.9076058830378,54.0092850679482,1,1,0,1,107.383168935776,107.81778216362,1
79,"rf",44.1927182070628,-5.80728179293721,5.48758129091677,-1.41655738187588,45.6092755889387,33.4372565146301,54.9481798994955,34.853813896506,56.3647372813714,1,1,0,1,104.01519203186,104.570477962494,1
80,"rf",41.8801247012189,-8.11987529878108,6.09964691337491,-3.89924376345797,45.7793684646769,29.9250364325932,53.8352129698446,33.8242801960512,57.7344567333026,1,1,0,1,109.019273996353,109.52516412735,1
81,"rf",39.2604412742655,-10.7395587257345,6.49696540563622,0.3002199308795,38.960221343386,26.5266230704158,51.9942594781151,26.2264031395363,51.6940395472356,1,1,0,1,108.460484981537,108.903671979904,1
82,"rf",44.9343264725563,-5.06567352744366,6.29089953123787,-1.32978274515453,46.2641092177109,32.6043899609702,57.2642629841425,33.9341727061247,58.594045729297,1,1,0,1,103.112294912338,103.605822086334,1
83,"rf",45.5933395431428,-4.40666045685717,6.14503193809803,-0.20903215639472,45.8023716995376,33.5492982606223,57.6373808256633,33.7583304170171,57.846412982058,1,1,0,1,107.302434921265,107.731891870499,1
84,"rf",38.8110790316535,-11.1889209683465,5.48873603778849,-0.466017008622053,39.2770960402755,28.0533540769409,49.568803986366,28.519371085563,50.034820994988,0,1,1,1,107.414330005646,107.83819103241,1
85,"rf",44.2290841073325,-5.77091589266748,5.87143445870445,-3.59180351658981,47.8208876239223,32.7212840306844,55.7368841839807,36.3130875472742,59.3286877005705,1,1,0,1,102.713673830032,103.132563829422,1
86,"rf",39.6674183526849,-10.3325816473151,7.1871457163475,-1.55254524862529,41.2199636013102,25.5808715970025,53.7539651083674,27.1334168456278,55.3065103569926,1,1,0,1,108.559551954269,109.059225082397,1
87,"rf",48.5187703237272,-1.48122967627282,6.89873660024536,-1.69013027768816,50.2089006014153,34.997495048418,62.0400455990364,36.6876253261061,63.7301758767245,1,1,0,1,112.045554876328,112.538332939148,1
88,"rf",45.2902089711614,-4.70979102883858,5.99768551250816,-3.56115630459713,48.8513652757586,33.5349613760478,57.0454565662751,37.0961176806449,60.6066128708722,1,1,0,1,103.952493906021,104.382781028748,1
89,"rf",43.5427739776022,-6.45722602239783,6.58926583086463,1.194126083647,42.3486478939552,30.6280502645471,56.4574976906572,29.4339241809001,55.2633716070102,1,1,0,1,106.729420185089,107.257611036301,1
90,"rf",43.1084116733903,-6.89158832660971,6.66904734596916,-0.838786355934367,43.9471980293247,30.0373190640983,56.1795042826823,30.8761054200327,57.0182906386166,1,1,0,1,103.941039085388,104.504795074463,1
