"replicate","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95","Estimator"
252,53.4624387388106,3.46243873881058,6.54704421258883,-0.000277401521600495,53.4627161403322,40.6304678769451,66.2944096006761,40.6307452784667,66.2946870021977,1,1,0,1,1.40503287315369,1.41019010543823,1,"lm_interact"
253,47.2470911591304,-2.75290884086962,5.87650250144185,0.717562022545323,46.5295291365851,35.7293579012448,58.764824417016,35.0117958786995,58.0472623944706,1,1,0,1,1.40691614151001,1.41205906867981,1,"lm_interact"
254,42.258103928167,-7.74189607183304,5.44453725622665,1.8050878776731,40.4530160504939,31.5870069934762,52.9292008628577,29.7819191158031,51.1241129851846,1,1,0,1,1.40169286727905,1.40700006484985,1,"lm_interact"
255,43.5083460925055,-6.49165390749447,5.03557329512326,0.522512034590015,42.9858340579155,33.6388037925522,53.3778883924588,33.1162917579622,52.8553763578688,1,1,0,1,1.41819715499878,1.42343211174011,1,"lm_interact"
256,42.8612166833991,-7.13878331660094,4.88387662634115,0.292101011912877,42.5691156714862,33.2889943908334,52.4334389759647,32.9968933789205,52.1413379640518,1,1,0,1,1.40468907356262,1.40989208221436,1,"lm_interact"
257,46.2871836595489,-3.71281634045112,5.48836034863592,-0.802593997617976,47.0897776571669,35.5301950420448,57.044172277053,36.3327890396628,57.846766274671,1,1,0,1,1.40684700012207,1.41210699081421,1,"lm_interact"
258,44.1158528432107,-5.88414715678927,5.40476700147751,0.149242655160194,43.9666101880505,33.5227041754843,54.7090015109372,33.3734615203241,54.559758855777,1,1,0,1,1.40945100784302,1.41465902328491,1,"lm_interact"
259,50.6940489257792,0.694048925779221,5.76218744878347,0.858322906254323,49.8357260195249,39.4003690539949,61.9877287975635,38.5420461477406,61.1294058913092,1,1,0,1,1.38864994049072,1.39388990402222,1,"lm_interact"
260,47.62536027398,-2.37463972601999,5.5342860564358,1.30107273153455,46.3242875424455,36.7783589232236,58.4723616247364,35.4772861916891,57.1712888932018,1,1,0,1,1.4681499004364,1.47336006164551,1,"lm_interact"
261,45.8699189971894,-4.13008100281063,4.61709417753094,1.56982136697634,44.300097630213,36.8205806959991,54.9192572983796,35.2507593290228,53.3494359314032,1,1,0,1,1.38257002830505,1.38771104812622,1,"lm_interact"
262,43.2741189985408,-6.72588100145924,4.74805410006667,-0.579080307167111,43.8531993057079,33.9681039657624,52.5801340313192,34.5471842729295,53.1592143384863,1,1,0,1,1.39006304740906,1.3952488899231,1,"lm_interact"
263,47.3337139978407,-2.66628600215933,4.85766480524146,0.299275500928744,47.0344384969119,37.8128659305996,56.8545620650817,37.5135904296709,56.555286564153,1,1,0,1,1.40769791603088,1.41295599937439,1,"lm_interact"
264,48.9632179480029,-1.03678205199714,5.8444311958913,-1.10930624937888,50.0725241973817,37.5083432939335,60.4180926020722,38.6176495433124,61.527398851451,1,1,0,1,1.40796303749084,1.41332602500916,1,"lm_interact"
265,45.8546273321568,-4.1453726678432,5.69922174247063,-1.08057524399192,46.9352025761487,34.6843579770068,57.0248966873068,35.7649332209987,58.1054719312988,1,1,0,1,1.40862512588501,1.41388201713562,1,"lm_interact"
266,52.2389454922712,2.23894549227117,5.98718731993738,-0.0123844250520904,52.2513299173233,40.504273976499,63.9736170080433,40.5166584015511,63.9860014330954,1,1,0,1,1.40208196640015,1.40741991996765,1,"lm_interact"
267,63.5923424456909,13.5923424456909,6.52849876881442,0.447189359822168,63.1451530858687,50.7967199857005,76.3879649056812,50.3495306258784,75.9407755458591,0,0,1,1,1.40102601051331,1.40624713897705,0,"lm_interact"
268,59.6679439235461,9.66794392354607,6.37821627579085,-0.261969962887349,59.9299138864334,47.1668697373888,72.1690181097033,47.4288397002762,72.4309880725907,1,1,0,1,1.41369819641113,1.41896414756775,1,"lm_interact"
269,44.4064495968599,-5.59355040314006,5.83905532741928,-0.432272844129997,44.8387224409899,32.9621114513814,55.8507877423385,33.3943842955114,56.2830605864685,1,1,0,1,1.48894596099854,1.49417591094971,1,"lm_interact"
270,51.5211139500117,1.52111395001165,5.00061687223441,-0.622807043356644,52.1439209933683,41.7200849799489,61.3221429200744,42.3428920233055,61.9449499634311,1,1,0,1,1.39244985580444,1.39765381813049,1,"lm_interact"
271,50.4100574962904,0.410057496290413,5.88750208824685,-0.0748667573737478,50.4849242536642,38.8707654444222,61.9493495481586,38.945632201796,62.0242163055323,1,1,0,1,1.40488314628601,1.4102029800415,1,"lm_interact"
