"replicate","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95","Estimator"
323,44.4239688795301,-5.57603112046989,5.06664602169219,-0.496898479405232,44.9208673589353,34.4935251546003,54.3544126044599,34.9904236340055,54.8513110838652,1,1,0,1,614.893146038055,617.343628883362,1,"bart"
324,44.4526903294181,-5.5473096705819,5.12616218359301,0.38622339430902,44.0664669351091,34.4055970706646,54.4997835881716,34.0193736763556,54.1135601938626,1,1,0,1,615.245105981827,617.610361099243,1,"bart"
325,41.5784504760053,-8.42154952399473,5.05650543647337,-0.509534155836647,42.0879846318419,31.6678819328865,51.489019019124,32.1774160887231,51.9985531749607,1,1,0,1,611.170794010162,613.54562497139,1,"bart"
326,47.1874894661297,-2.81251053387033,4.93568521068833,-0.747510541238192,47.9350000073679,37.5137242141536,56.8612547181058,38.2612347553917,57.608765259344,1,1,0,1,610.690179824829,613.057060956955,1,"bart"
327,48.0325552681626,-1.96744473183741,4.80522471769181,-0.900832905082339,48.9333881732449,38.614487883865,57.4506226524602,39.5153207889473,58.3514555575425,1,1,0,1,618.891874074936,621.328222036362,1,"bart"
328,55.3058587702692,5.30585877026923,5.02322910608355,0.0739391984771771,55.231919571792,45.4605106362521,65.1512069042863,45.386571437775,65.0772677058091,1,1,0,1,621.38134598732,623.819283008575,1,"bart"
329,35.4768091007448,-14.5231908992552,4.58599614086873,-0.191184767254398,35.6679938679992,26.4884218314025,44.4651963700872,26.6796065986569,44.6563811373416,0,0,1,1,612.178902864456,614.56569814682,0,"bart"
330,51.6676136384913,1.66761363849132,5.10613570068418,1.61127845681596,50.0563351816754,41.6597715649761,61.6754557120065,40.0484931081602,60.0641772551905,1,1,0,1,608.445309877396,610.819658994675,1,"bart"
331,55.083260871164,5.08326087116399,5.65619058420453,0.119895363550533,54.9633655076135,43.9973310364285,66.1691907058994,43.877435672878,66.0492953423489,1,1,0,1,690.589780807495,692.998844861984,1,"bart"
332,40.6288064205633,-9.37119357943673,5.00308900621281,0.188562969707611,40.4402434508557,30.8229321569379,50.4346806841887,30.6343691872303,50.246117714481,1,1,0,1,612.701483011246,615.090286970139,1,"bart"
333,42.1086467124447,-7.89135328755528,4.98790755785326,0.438027929303217,41.6706187831415,32.3325275408372,51.8847658840522,31.894499611534,51.446737954749,1,1,0,1,616.2186191082,618.653379917145,1,"bart"
334,53.45603142327,3.45603142326996,5.19943008320456,-0.0544564943600534,53.51048791763,43.2653357200549,63.646727126485,43.319792214415,63.7011836208451,1,1,0,1,615.518569946289,617.940076112747,1,"bart"
