"replicate","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95","Estimator"
139,50.2247386497831,0.224738649783106,4.83253077991967,0.22544547894465,49.9992931708385,40.7531523669593,59.6963249326069,40.5277068880146,59.4708794536623,1,1,0,1,1.41074085235596,1.41586208343506,1,"correct_model"
140,52.3142080468145,2.31420804681449,5.74545186928186,0.182490530119452,52.131717516695,41.0533293081137,63.5750867855153,40.8708387779943,63.3925962553958,1,1,0,1,1.40493106842041,1.41016602516174,1,"correct_model"
141,46.5030039108551,-3.49699608914493,5.26700297547879,-0.589600779169785,47.0926046900249,36.1798677724513,56.8261400492588,36.7694685516211,57.4157408284286,1,1,0,1,1.43324708938599,1.43865704536438,1,"correct_model"
142,45.6561316040259,-4.34386839597407,5.19017115018728,-0.170447939175929,45.8265795432019,35.48358307606,55.8286801319918,35.654031015236,55.9991280711677,1,1,0,1,1.41440796852112,1.4205949306488,1,"correct_model"
143,40.9891863875772,-9.01081361242277,4.7219739567053,0.160112134986242,40.829074252591,31.7342874964987,50.2440852786557,31.5741753615125,50.0839731436695,1,1,0,1,1.39420390129089,1.39943909645081,1,"correct_model"
144,50.4078303347086,0.407830334708578,4.98984002137718,-0.151429091673108,50.5592594263817,40.6279236041927,60.1877370652244,40.7793526958658,60.3391661568975,1,1,0,1,1.39512991905212,1.40026688575745,1,"correct_model"
145,53.0230058770808,3.02300587708076,5.29885097850835,0.383792260823974,52.6392136162568,42.6374487997596,63.408562954402,42.2536565389356,63.024770693578,1,1,0,1,1.57497692108154,1.58020210266113,1,"correct_model"
146,52.2535535730784,2.25355357307844,4.75509426041507,0.0132810961524044,52.240272476926,42.9337400795718,61.5733670665851,42.9204589834194,61.5600859704327,1,1,0,1,1.42611813545227,1.43274807929993,1,"correct_model"
147,50.6325066098983,0.6325066098983,5.15617871731707,-0.778297718029151,51.4108043279275,40.5265820261049,60.7384311936917,41.3048797441341,61.5167289117208,1,1,0,1,1.41355514526367,1.41883516311646,1,"correct_model"
148,51.5737122341189,1.57371223411887,5.21087574851285,0.599144061394313,50.9745681727246,41.3605834391205,61.7868410291172,40.7614393777262,61.1876969677229,1,1,0,1,1.41846203804016,1.42377400398254,1,"correct_model"
