"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
72,"super",48.0249223341232,-1.9750776658768,5.8334939527696,-7.12664046622551,55.1515628003487,36.5914842826626,59.4583603855838,43.7181247488881,66.5850008518093,1,1,0,1,1690.30125689507,1697.99367618561,1
73,"super",39.4936599407682,-10.5063400592318,6.10795140653364,-5.86512359218642,45.3587835329547,27.5222951646415,51.4650247168949,33.387418756828,57.3301483090814,1,1,0,1,1692.75945210457,1699.95135188103,1
74,"super",45.2313036029763,-4.76869639702366,6.54187545348551,-8.20521122354072,53.4365148265171,32.4094633227981,58.0531438831546,40.6146745463388,66.2583551066953,1,1,0,1,1688.07014894485,1695.31799697876,1
75,"super",51.1336062192313,1.13360621923133,5.82147914031328,-4.30875357089581,55.4423597901271,39.7237167674661,62.5434956709965,44.0324703383619,66.8522492418924,1,1,0,1,1697.40330314636,1704.67980885506,1
76,"super",45.4416399281607,-4.55836007183925,5.63046586432293,-5.8471973217796,51.2888372499403,34.4061296179056,56.4771502384159,40.2533269396852,62.3243475601955,1,1,0,1,1696.09573411942,1703.24174690247,1
77,"super",58.5485996402717,8.54859964027172,5.8446220196643,-4.71585667320283,63.2644563134745,47.09335097848,70.0038483020635,51.8092076516828,74.7197049752663,1,0,0,1,1697.00388717651,1704.00681495667,1
78,"super",46.7813566461649,-3.2186433538351,6.00071723075191,-6.53122997882532,53.3125866249902,35.0201669924822,58.5425462998476,41.5513969713076,65.0737762786729,1,1,0,1,1687.59694290161,1694.74565386772,1
79,"super",48.8849488210959,-1.11505117890414,5.53385662425067,-4.09476793573286,52.9797167568287,38.0387891419562,59.7311085002356,42.133557077689,63.8258764359684,1,1,0,1,1694.68328309059,1701.93066000938,1
80,"super",45.9296241841031,-4.07037581589688,6.43181238234747,-6.49796162865276,52.4275858127559,33.3235035593833,58.5357448088229,39.8214651880361,65.0337064374757,1,1,0,1,1687.75389885902,1695.13981986046,1
81,"super",47.3391137704969,-2.66088622950312,6.16599250645197,-6.87879653683375,54.2179103073306,35.2539905289072,59.4242370120866,42.1327870657409,66.3030335489204,1,1,0,1,1692.54257702827,1699.55000185966,1
82,"super",49.0534539800754,-0.946546019924561,6.06669703137687,-4.75580831249004,53.8092622925655,37.1629462934607,60.9439616666902,41.9187546059508,65.6997699791802,1,1,0,1,1693.76793718338,1700.87593197823,1
83,"super",52.048739048803,2.04873904880299,6.40325859070809,-6.01156372022319,58.0603027690262,39.4985828273184,64.5988952702875,45.5101465475416,70.6104589905107,1,1,0,1,1689.52118110657,1696.68428301811,1
84,"super",43.6358843284775,-6.36411567152247,5.16250387272116,-3.20835235132278,46.8442366798003,33.5175626678955,53.7542059890595,36.7259150192183,56.9625583403823,1,1,0,1,1688.89618897438,1696.1071460247,1
85,"super",46.1962247122279,-3.8037752877721,5.82673351808274,-3.81869793541598,50.0149226476439,34.7760368692734,57.6164125551824,38.5947348046893,61.4351104905984,1,1,0,1,1691.85032510757,1698.91950201988,1
86,"super",46.5866220469075,-3.41337795309251,6.93026288266057,-7.21722454294076,53.8038465898482,33.003556393498,60.1696877003169,40.2207809364388,67.3869122432577,1,1,0,1,1691.48249578476,1698.79008102417,1
87,"super",54.3167550174901,4.3167550174901,6.48398037722017,-5.658300300991,59.9750553184811,41.6083870016741,67.0251230333061,47.2666873026651,72.6834233342971,1,1,0,1,1697.38154006004,1704.55427408218,1
88,"super",48.1692040518854,-1.83079594811456,5.5043258478657,-5.51883856229479,53.6880426141802,37.3809236308958,58.9574844728751,42.8997621931906,64.4763230351699,1,1,0,1,1693.98875308037,1701.26817989349,1
89,"super",51.139811777932,1.139811777932,6.35090022081881,-6.57123523118378,57.7110470091158,38.6922760757197,63.5873474801443,45.2635113069034,70.1585827113281,1,1,0,1,1684.24304699898,1691.42557311058,1
90,"super",50.9088075382333,0.908807538233312,6.88978692383448,-6.87417975250838,57.7829872907417,37.4050733063627,64.4125417701039,44.2792530588711,71.2867215226123,1,1,0,1,1681.24859499931,1688.35305404663,1
91,"super",28.7621689700018,-21.2378310299982,5.31745851444373,-6.83883177324411,35.6010007432459,18.3401417924063,39.1841961475974,25.1789735656504,46.0230279208415,0,0,1,1,1689.25749897957,1696.42718315125,0
92,"super",46.4081590159701,-3.59184098402991,5.65771447681607,-3.71024326006413,50.1184022760342,35.3192424065997,57.4970756253405,39.0294856666638,61.2073188854046,1,1,0,1,1679.12445187569,1686.27545595169,1
93,"super",43.5431729145651,-6.45682708543485,5.71920861689366,-5.65081195181111,49.1939848663763,32.3337300053824,54.7526158237479,37.9845419571935,60.403427775559,1,1,0,1,1684.60384988785,1691.953125,1
94,"super",50.9711969921615,0.971196992161495,6.10439116339674,-4.2792396700918,55.2504366622533,39.0068101643593,62.9355838199637,43.2860498344511,67.2148234900555,1,1,0,1,1687.93032979965,1695.05473399162,1
95,"super",49.0203119256448,-0.979688074355174,6.69255399808389,-4.47362896579226,53.4939408914371,35.9031471248109,62.1374767264788,40.3767760906031,66.611105692271,1,1,0,1,1680.68029403687,1688.62362909317,1
96,"super",51.2656924841776,1.26569248417761,4.91994918723974,-2.84073649810593,54.1064289822835,41.6227692714206,60.9086156969346,44.4635057695265,63.7493521950405,1,1,0,1,1687.33051800728,1694.53128480911,1
97,"super",60.8572479462958,10.8572479462958,6.33628959596369,-6.4344965956576,67.2917445419534,48.4383485425911,73.2761473500005,54.8728451382487,79.7106439456581,1,0,0,1,1683.51846790314,1690.84782195091,0
98,"super",51.6069262824417,1.60692628244174,6.37370323850726,-4.34894572343482,55.9558720058766,39.1146974868212,64.0991550780623,43.463643210256,68.4481008014971,1,1,0,1,1679.70900511742,1686.70539593697,1
99,"super",36.4586931217393,-13.5413068782607,5.39147229626033,-5.06426433334924,41.5229574550886,25.8916015974236,47.025784646055,30.9558659307729,52.0900489794043,0,1,1,1,1681.06437492371,1688.38149404526,0
100,"super",47.3583785969134,-2.64162140308658,6.37844918605,-8.45184020051062,55.810218797424,34.8568479150366,59.8599092787902,43.3086881155472,68.3117494793009,1,1,0,1,1686.56128001213,1693.47926902771,1
101,"super",47.492352042369,-2.507647957631,5.32226893902701,-7.67600711690086,55.1683591592699,37.0608966058399,57.9238074788981,44.7369037227407,65.599814595799,1,1,0,1,1685.37952899933,1692.41950893402,1
102,"super",49.6579887607487,-0.342011239251278,6.23522506234542,-9.31490270645888,58.9728914672076,37.4371722030502,61.8788053184472,46.7520749095091,71.1937080249061,1,1,0,1,1684.65017294884,1691.7160859108,1
103,"super",37.1065607215821,-12.8934392784179,5.56030607272699,-5.91522129944356,43.0217820210256,26.2085610760178,48.0045603671463,32.1237823754614,53.9197816665899,0,1,1,1,1678.39633393288,1685.34364819527,0
104,"super",46.1017786442861,-3.89822135571389,5.67296359043666,-7.59776242132106,53.6995410656072,34.9829743214232,57.220582967149,42.5807367427443,64.81834538847,1,1,0,1,1690.74254608154,1697.79922914505,1
105,"super",50.1669104263758,0.166910426375779,5.33579024677485,-5.32673565810405,55.4936460844798,39.708953713637,60.6248671391146,45.035689371741,65.9516027972186,1,1,0,1,1683.86940813065,1690.9199090004,1
106,"super",45.5094742858095,-4.49052571419053,5.88047071538024,-6.86039474661891,52.3698690324284,33.9839634715217,57.0349851000972,40.8443582181406,63.8953798467161,1,1,0,1,1682.5309150219,1689.71180200577,1
107,"super",48.2878259412469,-1.71217405875313,5.95364375549551,-4.61895740207742,52.9067833433243,36.6188986036939,59.9567532787999,41.2378560057713,64.5757106808773,1,1,0,1,1676.68805599213,1683.25779104233,1
108,"super",41.9679526472733,-8.03204735272672,6.59609743036742,-5.46989439623697,47.4378470435103,29.0398392452359,54.8960660493106,34.5097336414729,60.3659604455476,1,1,0,1,1679.37536406517,1686.51147484779,1
109,"super",49.2028083278904,-0.797191672109584,6.67097952752167,-6.60272441065383,55.8055327385443,36.1279287123439,62.2776879434369,42.7306531229978,68.8804123540908,1,1,0,1,1685.81134605408,1692.81168317795,1
110,"super",44.604990612474,-5.395009387526,7.44120521298128,-7.49841638511297,52.103406997587,30.020496393459,59.189484831489,37.518912778572,66.687901216602,1,1,0,1,1679.60702013969,1686.70909500122,1
111,"super",61.5103018431695,11.5103018431695,6.02038395498042,-6.50830148246207,68.0186033256315,49.710566118305,73.3100375680339,56.2188676007671,79.818339050496,1,0,0,1,1709.41809391975,1716.42288899422,0
112,"super",48.6240783835928,-1.37592161640723,5.826740283922,-4.42607579042658,53.0501541740193,37.203877279837,60.0442794873486,41.6299530702635,64.4703552777752,1,1,0,1,1707.33347392082,1714.3570458889,1
113,"super",46.4762437650634,-3.52375623493661,6.55972245942919,-5.94896111458893,52.4252048796523,33.6194239960037,59.3330635341231,39.5683851105926,65.282024648712,1,1,0,1,1698.38024020195,1705.31922698021,1
