"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
95,"xgboost",44.3305207481384,-5.66947925186157,7.08898305371143,-1.02742693552917,45.3579476836676,30.4363692758493,58.2246722204276,31.4637962113784,59.2520991559568,1,1,0,1,10.0672960281372,10.1221101284027,1
96,"xgboost",48.2837008628846,-1.71629913711545,6.39408633184425,-2.36868638652697,50.6523872494115,35.75152193843,60.8158797873391,38.120208324957,63.1845661738661,1,1,0,1,10.0729060173035,10.1258878707886,1
97,"xgboost",51.685092540741,1.68509254074097,6.52032094024823,0.995653825855371,50.6894387148856,38.9054983302121,64.4646867512698,37.9098445043567,63.4690329254145,1,1,0,1,9.86324596405029,9.9098801612854,1
98,"xgboost",51.2229163970947,1.22291639709473,5.85148806807813,-5.38990721346474,56.6128236105595,39.7542105276957,62.6916222664937,45.1441177411605,68.0815294799584,1,1,0,1,9.82529187202454,9.87744402885437,1
99,"xgboost",30.2974426765442,-19.7025573234558,5.41048101102718,0.24637975280999,30.0510629237342,19.6930947558931,40.9017905971953,19.4467150030831,40.6554108443853,0,0,1,1,9.93599104881287,9.98135304450989,0
100,"xgboost",42.217343120575,-7.78265687942503,7.03705165846348,-3.46094281168821,45.6782859322632,28.4249753126387,56.0097109285113,31.8859181243269,59.4706537401995,1,1,0,1,9.75832009315491,9.79708504676819,1
101,"xgboost",41.9913526382446,-8.00864736175537,5.90781049097667,-3.51693829751039,45.508290935755,30.4122568484425,53.5704484280468,33.9291951459529,57.0873867255572,1,1,0,1,9.79124879837036,9.82455706596375,1
102,"xgboost",43.8564739723206,-6.14352602767944,6.21985075967376,-3.55839477962936,47.4148687519499,31.6657904941459,56.0471574504952,35.2241852737753,59.6055522301246,1,1,0,1,9.72133994102478,9.75462198257446,1
103,"xgboost",29.6095329704285,-20.3904670295715,5.28035520710907,1.92850984737326,27.6810231230552,19.2602269389161,39.9588390019408,17.3317170915429,38.0303291545675,0,0,1,1,9.93132710456848,9.98162889480591,0
104,"xgboost",37.9397199249268,-12.0602800750732,5.96426354393489,0.434779929557315,37.5049399953694,26.2499781845092,49.6294616653444,25.8151982549518,49.1946817357871,0,0,1,1,9.75402402877808,9.78501987457275,1
105,"xgboost",41.6851181945801,-8.31488180541992,6.23193816564208,1.45070007291842,40.2344181216617,29.470743836041,53.8994925531192,28.0200437631226,52.4487924802008,1,1,0,1,9.83732914924622,9.86887288093567,1
106,"xgboost",39.1730669460297,-10.8269330539703,6.34993496247429,-0.718464738929036,39.8915316849587,26.7274231154084,51.618710776651,27.4458878543374,52.33717551558,1,1,0,1,9.78780603408813,9.82904314994812,1
107,"xgboost",44.0373590164184,-5.96264098358155,6.64054788981064,-0.315867196315516,44.353226212734,31.0221243147761,57.0525937180608,31.3379915110917,57.3684609143763,1,1,0,1,9.93416500091553,9.97538900375366,1
108,"xgboost",40.11288235569,-9.88711764430998,6.31825114374476,-3.64152138587261,43.7544037415626,27.7293376686713,52.4964270427087,31.3708590545439,56.1379484285814,1,1,0,1,9.86039280891418,9.8981339931488,1
109,"xgboost",42.3597194747925,-7.64028052520751,6.55095536478087,-0.20539345270408,42.5651129274966,29.5200828954925,55.1993560540925,29.7254763481966,55.4047495067965,1,1,0,1,9.9447832107544,9.98398995399475,1
110,"xgboost",42.2330563697815,-7.7669436302185,7.03172021174703,-6.03867672577215,48.2717330955536,28.451138005395,56.014974734168,34.4898147311671,62.0536514599402,1,1,0,1,9.76072287559509,9.79916310310364,1
111,"xgboost",55.077069568634,5.07706956863404,6.91451964331689,-2.03340184494746,57.1104714135815,41.5248600973382,68.6292790399299,43.5582619422857,70.6626808848773,1,1,0,1,10.0314741134644,10.0629451274872,1
112,"xgboost",43.6360811843872,-6.36391881561278,6.08772382414283,1.38466099379729,42.2514201905899,31.7043617412408,55.5678006275336,30.3197007474435,54.1831396337363,1,1,0,1,9.97081613540649,10.0171418190002,1
