"n","target_r2","achieved_r2_raw","ss","setting","Estimator","Procedure","ModelSpec","mean_estimate","mean_bias","mean_n_obs","mc_sd_estimate","mc_var_estimate","mc_se_estimate","sd_estimate","var_estimate","mean_bootstrap_se","sd_bootstrap_se","mean_bootstrap_bias","mean_eif_se","mean_eif_var","coverage_95","coverage_95_mc_mean","coverage_95_bc","reject_h0_effect_prob","reject_h0_null_prob","mean_ci_lower","mean_ci_upper","mean_bc_ci_lower","mean_bc_ci_upper","mean_bootstrap_time_sec","mean_replicate_time_sec","std_bias","relative_efficiency"
1000,0.6,0.600000000000007,29.0149531095981,"setting_three","rf","tmle","m1",49.7658472161835,-0.234152783816498,608.998,3.28035421131816,10.7607237517128,0.146701900135702,3.28035421131816,10.7607237517128,NA,NA,NA,4.54678860548915,203154.556897584,0.93,0.928,NA,0.07,0.99,40.8543053041077,58.6773891282593,NA,NA,NA,0.547828395366669,-0.0713803353944534,NA
1000,0.6,0.600000000000007,29.0149531095981,"setting_three","bart","tmle","m1",50.8886712263542,0.888671226354218,608.998,3.00183310633376,9.01100199828142,0.134246057657433,3.00183310633376,9.01100199828142,NA,NA,NA,4.44430784069721,635122.876755568,0.944,0.948,NA,0.056,0.996,42.1779879223787,59.5993545303297,NA,NA,NA,5.51467699718475,0.296042849443946,1.07094898005209
1000,0.6,0.600000000000007,29.0149531095981,"setting_three","correct_model","tmle","m1",49.8938568164078,-0.106143183592211,608.998,2.65338566414602,7.04045548269559,0.118663014311078,2.65338566414602,7.04045548269559,NA,NA,NA,2.55631794464167,6571.34367804615,0.944,0.946,NA,0.056,1,44.8835657118767,54.9041479209389,NA,NA,NA,0.0626036243438721,-0.0400029234447429,1.37069589077381
1000,0.6,0.600000000000007,29.0149531095981,"setting_three","lm_interact","tmle","m1",49.7077054352139,-0.292294564786095,608.998,3.49680211894319,12.2276250590456,0.156381744836446,3.49680211894319,12.2276250590456,NA,NA,NA,5.03658879275055,210351.635586233,0.946,0.948,NA,0.054,0.982,39.8361727964848,59.579238073943,NA,NA,NA,0.0632125163078308,-0.0835891065161082,0.789223038219331
1000,0.6,0.600000000000007,29.0149531095981,"setting_three","lm","tmle","m1",50.8001172031284,0.800117203128431,608.998,3.1064969659259,9.6503233993068,0.138926767754143,3.1064969659259,9.6503233993068,NA,NA,NA,6.38285266107723,981354.376669928,0.964,0.964,NA,0.036,0.982,38.2899558687914,63.3102785374654,NA,NA,NA,0.0629793772697449,0.257562525218805,1
1000,0.6,0.600000000000007,29.0149531095981,"setting_three","rf","tmle","m1",49.7658472161835,-0.234152783816498,608.998,3.28035421131816,10.7607237517128,0.146701900135702,3.28035421131816,10.7607237517128,NA,NA,NA,4.54678860548915,203154.556897584,0.93,0.928,NA,0.07,0.99,40.8543053041077,58.6773891282593,NA,NA,NA,0.547828395366669,-0.0713803353944534,0.896809882120684
1000,0.6,0.600000000000007,29.0149531095981,"setting_three","super","tmle","m1",50.3252307139089,0.325230713908913,608.998,2.99918535138239,8.99511277194672,0.134127646456252,2.99918535138239,8.99511277194672,NA,NA,NA,4.18720375327177,350650.573596159,0.952,0.958,NA,0.048,0.994,42.1184621615653,58.5319992662525,NA,NA,NA,20.6498153729439,0.108439684716054,1.07284073518272
1000,0.6,0.600000000000007,29.0149531095981,"setting_three","unadj","tmle","m1",60.4536699367132,10.4536699367132,608.998,3.80821528723346,14.5025036739186,0.170308565104158,3.80821528723346,14.5025036739186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00238417959213257,2.745031241211,0.665424647791126
1000,0.6,0.600000000000007,29.0149531095981,"setting_three","xgboost","tmle","m1",49.532976773583,-0.467023226417007,608.998,3.5120754646306,12.3346740692602,0.157064789620464,3.5120754646306,12.3346740692602,NA,NA,NA,4.2593084668879,251279.3606287,0.914,0.928,NA,0.086,0.996,41.1848855794362,57.8810679677298,NA,NA,NA,1.44993951559067,-0.1329764212416,0.782373603479058
1000,0.6,0.600000000000007,29.0149531095981,"setting_three","super","tmle","m1",50.3252307139089,0.325230713908913,608.998,2.99918535138239,8.99511277194672,0.134127646456252,2.99918535138239,8.99511277194672,NA,NA,NA,4.18720375327177,350650.573596159,0.952,0.958,NA,0.048,0.994,42.1184621615653,58.5319992662525,NA,NA,NA,20.6498153729439,0.108439684716054,NA
1000,0.6,0.600000000000007,29.0149531095981,"setting_three","unadj","tmle","m1",60.4536699367132,10.4536699367132,608.998,3.80821528723346,14.5025036739186,0.170308565104158,3.80821528723346,14.5025036739186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00238417959213257,2.745031241211,NA
1000,0.6,0.600000000000007,29.0149531095981,"setting_three","xgboost","tmle","m1",49.532976773583,-0.467023226417007,608.998,3.5120754646306,12.3346740692602,0.157064789620464,3.5120754646306,12.3346740692602,NA,NA,NA,4.2593084668879,251279.3606287,0.914,0.928,NA,0.086,0.996,41.1848855794362,57.8810679677298,NA,NA,NA,1.44993951559067,-0.1329764212416,NA
1000,0.8,0.800000000000003,11.895857708535,"setting_three","bart","tmle","m1",50.5117431708931,0.511743170893118,609.036,1.31827393728854,1.73784617373422,0.0589550027348692,1.31827393728854,1.73784617373422,NA,NA,NA,2.46904340276679,101310.764894835,0.956,0.958,NA,0.044,0.99,45.672507025204,55.3509793165822,NA,NA,NA,4.59948054027557,0.388191829041001,NA
1000,0.8,0.800000000000003,11.895857708535,"setting_three","correct_model","tmle","m1",49.8824123230762,-0.11758767692376,609.036,1.03139800635787,1.06378184751899,0.0461255210814792,1.03139800635787,1.06378184751899,NA,NA,NA,1.04514241212652,1105.89465901857,0.934,0.944,NA,0.066,1,47.8339708365929,51.9308538095595,NA,NA,NA,0.0622376713752747,-0.114008051401022,NA
1000,0.8,0.800000000000003,11.895857708535,"setting_three","lm_interact","tmle","m1",49.7065642647952,-0.293435735204811,609.036,2.26407032652336,5.12601444344361,0.101252303118928,2.26407032652336,5.12601444344361,NA,NA,NA,4.65331803742588,569874.799362817,0.938,0.938,NA,0.062,0.984,40.5862285028299,58.8269000267605,NA,NA,NA,0.0627260093688965,-0.129605397750786,NA
1000,0.8,0.800000000000003,11.895857708535,"setting_three","lm","tmle","m1",50.7397977746399,0.73979777463992,609.036,1.83153478392942,3.35451966474339,0.0819087256004315,1.83153478392942,3.35451966474339,NA,NA,NA,4.0416498382413,283746.756011903,0.968,0.976,NA,0.032,0.988,42.8183096535648,58.661285895715,NA,NA,NA,0.0620551552772522,0.403922317572773,1
1000,0.8,0.800000000000003,11.895857708535,"setting_three","rf","tmle","m1",50.4840514953519,0.484051495351902,609.036,1.64433782563959,2.70384688482913,0.0735370231220864,1.64433782563959,2.70384688482913,NA,NA,NA,3.13431494146489,209330.491943495,0.962,0.964,NA,0.038,0.994,44.340907093875,56.6271958968289,NA,NA,NA,0.513811502933502,0.294374725074285,NA
1000,0.8,0.800000000000003,11.895857708535,"setting_three","bart","tmle","m1",50.5117431708931,0.511743170893118,609.036,1.31827393728854,1.73784617373422,0.0589550027348692,1.31827393728854,1.73784617373422,NA,NA,NA,2.46904340276679,101310.764894835,0.956,0.958,NA,0.044,0.99,45.672507025204,55.3509793165822,NA,NA,NA,4.59948054027557,0.388191829041001,1.93027421842252
1000,0.8,0.800000000000003,11.895857708535,"setting_three","correct_model","tmle","m1",49.8824123230762,-0.11758767692376,609.036,1.03139800635787,1.06378184751899,0.0461255210814792,1.03139800635787,1.06378184751899,NA,NA,NA,1.04514241212652,1105.89465901857,0.934,0.944,NA,0.066,1,47.8339708365929,51.9308538095595,NA,NA,NA,0.0622376713752747,-0.114008051401022,3.15339058714621
1000,0.8,0.800000000000003,11.895857708535,"setting_three","lm_interact","tmle","m1",49.7065642647952,-0.293435735204811,609.036,2.26407032652336,5.12601444344361,0.101252303118928,2.26407032652336,5.12601444344361,NA,NA,NA,4.65331803742588,569874.799362817,0.938,0.938,NA,0.062,0.984,40.5862285028299,58.8269000267605,NA,NA,NA,0.0627260093688965,-0.129605397750786,0.654410888177259
1000,0.8,0.800000000000003,11.895857708535,"setting_three","lm","tmle","m1",50.7397977746399,0.73979777463992,609.036,1.83153478392942,3.35451966474339,0.0819087256004315,1.83153478392942,3.35451966474339,NA,NA,NA,4.0416498382413,283746.756011903,0.968,0.976,NA,0.032,0.988,42.8183096535648,58.661285895715,NA,NA,NA,0.0620551552772522,0.403922317572773,1
1000,0.8,0.800000000000003,11.895857708535,"setting_three","rf","tmle","m1",50.4840514953519,0.484051495351902,609.036,1.64433782563959,2.70384688482913,0.0735370231220864,1.64433782563959,2.70384688482913,NA,NA,NA,3.13431494146489,209330.491943495,0.962,0.964,NA,0.038,0.994,44.340907093875,56.6271958968289,NA,NA,NA,0.513811502933502,0.294374725074285,1.24064705126799
