"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec"
134,"lm_interact",52.0800809230858,2.08008092308581,2.40240181540579,0.100654124760005,51.9794267983258,47.3714598884968,56.7887019576748,47.2708057637368,56.6880478329148,1,1,0,1,2.49699902534485,2.51306390762329
135,"lm_interact",52.280747841592,2.28074784159205,2.29904664143283,-0.0210288266573713,52.3017766682494,47.7746992256059,56.7867964575782,47.7957280522633,56.8078252842355,1,1,0,1,2.52429509162903,2.5323588848114
137,"lm_interact",47.9730288007551,-2.0269711992449,2.10064484084803,0.207075165257862,47.7659536354972,43.8558405683831,52.0902170331271,43.6487654031252,51.8831418678692,1,1,0,1,2.60969710350037,2.61896991729736
138,"lm_interact",50.1863280001936,0.186328000193612,1.97122344902749,0.0404849811375385,50.1458430190561,46.3228010346189,54.0498549657683,46.2823160534814,54.0093699846308,1,1,0,1,2.57828116416931,2.59447503089905
139,"lm_interact",50.7139443572418,0.713944357241836,2.26927902070938,-0.106910103964502,50.8208544612063,46.2662392057791,55.1616495087045,46.3731493097436,55.268559612669,1,1,0,1,2.48466515541077,2.49158501625061
14,"lm_interact",48.1672623051581,-1.83273769484191,2.17924373614547,0.150195518683496,48.0170667864746,43.8960230687785,52.4385015415377,43.745827550095,52.2883060228542,1,1,0,1,2.49139595031738,2.51839900016785
140,"lm_interact",49.1117814067017,-0.888218593298319,2.22634944744456,-0.0902814295373773,49.2020628362391,44.7482166727097,53.4753461406937,44.8384981022471,53.565627570231,1,1,0,1,2.49180293083191,2.50225901603699
142,"lm_interact",49.5720893373225,-0.427910662677512,2.01536374454069,-0.187573833319938,49.7596631706424,45.622048982275,53.52212969237,45.8096228155949,53.70970352569,1,1,0,1,2.44446206092834,2.45205402374268
143,"lm_interact",49.4898580267411,-0.510141973258946,1.98664556654527,-0.0631782844956845,49.5530363112367,45.5961042662662,53.383611787216,45.6592825507618,53.4467900717116,1,1,0,1,2.50735998153687,2.51698589324951
144,"lm_interact",47.7003083005677,-2.29969169943229,2.12430816082576,0.0189666655081169,47.6813416350596,43.5367408132847,51.8638757878507,43.5177741477766,51.8449091223426,1,1,0,1,2.60611295700073,2.62134194374084
145,"lm_interact",50.0473597301241,0.0473597301240858,2.06551011095449,-0.197507536441798,50.2448672665659,45.99903430295,54.0956851572982,46.1965418393918,54.29319269374,1,1,0,1,2.71821188926697,2.72490096092224
146,"lm_interact",53.582221642502,3.58222164250204,2.13665965334324,0.207809771747385,53.3744118707547,49.3944456747294,57.7699976102746,49.1866359029821,57.5621878385273,1,1,0,1,2.63380908966064,2.64037418365479
148,"lm_interact",51.0300648542929,1.03006485429285,2.27593690724537,-0.120712922731187,51.150777777024,46.5693104850065,55.4908192235793,46.6900234077376,55.6115321463104,1,1,0,1,2.61933016777039,2.62851595878601
