"Estimator","mean_estimate","mean_bias","sd_estimate","var_estimate","n","target_r2","achieved_r2_raw","ss","relative_efficiency"
"unadj",50.035278792139,0.0352787921390502,1.19202199585552,1.42091643860339,10000,0.4,0.4,47.0989340742241,0.701214223982351
"lm",50.0213623701313,0.0213623701313318,0.998181755913741,0.99636681783904,10000,0.4,0.4,47.0989340742241,1
"lm_interact",50.0213567415122,0.0213567415122469,0.998255150454992,0.996513345409919,10000,0.4,0.4,47.0989340742241,0.99985295975056
"rf",49.659080296881,-0.340919703118996,0.961759430703693,0.924981202547491,10000,0.4,0.4,47.0989340742241,1.07717520647441
"bart",50.0328209969131,0.0328209969130932,0.960403457045406,0.922374800304768,10000,0.4,0.4,47.0989340742241,1.08021903624191
"super",49.9877649084799,-0.0122350915201019,0.957910600509639,0.917592718568738,10000,0.4,0.4,47.0989340742241,1.08584865341257
"xgboost",49.8115730312709,-0.188426968729076,0.978409763393443,0.957285665103612,10000,0.4,0.4,47.0989340742241,1.04082496391628
"correct_model",50.0348403316321,0.0348403316321075,0.952484491593526,0.907226706726178,10000,0.4,0.4,47.0989340742241,1.09825560739336
"unadj",50.0080288209883,0.00802882098829633,0.895827607610712,0.802507102557532,10000,0.6,0.599999999999996,28.8267951585152,0.536213683752935
"lm",50.016118304417,0.0161183044170336,0.655984214520646,0.430315289700269,10000,0.6,0.599999999999996,28.8267951585152,1
"lm_interact",50.016128520892,0.0161285208920186,0.656074363961602,0.43043357104762,10000,0.6,0.599999999999996,28.8267951585152,0.999725204177119
"rf",49.6797550447935,-0.32024495520646,0.571163937152388,0.326228243103417,10000,0.6,0.599999999999996,28.8267951585152,1.31906203339928
"bart",50.0019886520768,0.00198865207677769,0.569496372007884,0.324326117730142,10000,0.6,0.599999999999996,28.8267951585152,1.32679813982269
"super",49.9491469547995,-0.0508530452005023,0.56862638488766,0.323335965590409,10000,0.6,0.599999999999996,28.8267951585152,1.33086119545816
"xgboost",49.8564270076051,-0.143572992394924,0.581749357901279,0.33843231541855,10000,0.6,0.599999999999996,28.8267951585152,1.27149586518676
"correct_model",50.0025843906893,0.00258439068929923,0.559781187448051,0.31335497782075,10000,0.6,0.599999999999996,28.8267951585152,1.37325180756
"unadj",50.0313599243947,0.0313599243947217,0.75801017517245,0.574579425664968,10000,0.8,0.8,11.7369867540522,0.282623351678208
"lm",50.0130928777335,0.01309287773346,0.402975884001479,0.162389563086773,10000,0.8,0.8,11.7369867540522,1
"lm_interact",50.013083186636,0.0130831866359694,0.403122549820475,0.162507790173761,10000,0.8,0.8,11.7369867540522,0.999272483572253
"rf",49.7343151562615,-0.265684843738498,0.261244419382469,0.0682486466584833,10000,0.8,0.8,11.7369867540522,2.37938143886386
"bart",50.0059234340954,0.00592343409542933,0.252011603215582,0.0635098481552879,10000,0.8,0.8,11.7369867540522,2.55691940389645
"super",49.9550734425127,-0.0449265574873331,0.24651410013034,0.0607692015630713,10000,0.8,0.8,11.7369867540522,2.67223460091427
"xgboost",49.9431709078465,-0.0568290921535497,0.250444194260351,0.0627222944387165,10000,0.8,0.8,11.7369867540522,2.58902459707429
"correct_model",50.0034310874868,0.00343108748684764,0.236269282428879,0.0558231738194574,10000,0.8,0.8,11.7369867540522,2.90899911230364
"unadj",51.2126678848738,1.21266788487383,13.953196939648,194.691704836603,200,0.2,0.2,87.265358238047,0.890419233650007
"lm",51.4033250140171,1.40332501401706,13.1665196091686,173.357238618621,200,0.2,0.2,87.265358238047,1
"lm_interact",51.3800158994878,1.38001589948777,13.1776083817007,173.649362661468,200,0.2,0.2,87.265358238047,0.998317736164596
"rf",36.023904040289,-13.976095959711,13.2296862448177,175.024598136319,200,0.2,0.2,87.265358238047,0.990473570369811
