"Estimator","mean_estimate","mean_bias","sd_estimate","var_estimate","n","target_r2","achieved_r2_raw","ss","relative_efficiency"
"rf",50.3106720425859,0.310672042585921,4.88332772510672,23.846889670796,200,0.6,0.599999999999999,30.008771668175,1.00550179553332
"bart",50.2201055646059,0.220105564605886,4.83787330273652,23.4050180933307,200,0.6,0.599999999999999,30.008771668175,1.02448501796727
"super",48.9907452367974,-1.00925476320256,4.91984956487013,24.2049197409528,200,0.6,0.599999999999999,30.008771668175,0.990628791108992
"xgboost",50.2508405673676,0.250840567367642,5.15366792128949,26.5602930429283,200,0.6,0.599999999999999,30.008771668175,0.902779586923813
"correct_model",50.1071210455278,0.107121045527812,4.29021922648474,18.4059810112993,200,0.6,0.599999999999999,30.008771668175,1.30273362594204
"unadj",50.224104807487,0.224104807487031,5.11866752682056,26.2007572501273,200,0.8,0.800000000000007,12.723571281659,0.334119123509574
"lm",50.0727422382021,0.0727422382020835,2.95874535026245,8.75417404769965,200,0.8,0.800000000000007,12.723571281659,1
"lm_interact",50.0957794988398,0.0957794988398099,2.94902644238769,8.69675695790181,200,0.8,0.800000000000007,12.723571281659,1.00660212652553
"rf",50.2219813999451,0.221981399945083,2.6445012773324,6.99338700581269,200,0.8,0.800000000000007,12.723571281659,1.25177886486526
"bart",50.109510848464,0.109510848464033,2.43310734310494,5.92001134307117,200,0.8,0.800000000000007,12.723571281659,1.47874278280659
"super",49.7224630221465,-0.27753697785347,2.37915207551499,5.66036459842731,200,0.8,0.800000000000007,12.723571281659,1.54657423483497
"xgboost",50.1553394236156,0.155339423615606,2.67132277869738,7.1359653879875,200,0.8,0.800000000000007,12.723571281659,1.22676800849345
"correct_model",50.0200660871342,0.0200660871341848,1.84720654157005,3.4121720072192,200,0.8,0.800000000000007,12.723571281659,2.56557231850512
"unadj",50.0530852991722,0.0530852991721691,3.98847876817745,15.9079628842023,2000,0.2,0.2,80.3346816814468,0.871174377296885
"lm",50.0848368871313,0.0848368871313452,3.72271536109154,13.8586096597069,2000,0.2,0.2,80.3346816814468,1
"lm_interact",50.0834058736733,0.0834058736733493,3.73056475840914,13.9171134166843,2000,0.2,0.2,80.3346816814468,0.995796272170402
"rf",50.0485806325736,0.048580632573586,3.74046557910314,13.9910827484554,2000,0.2,0.2,80.3346816814468,0.990531605656957
"bart",50.0581104501856,0.0581104501855808,3.71376919291152,13.7920816182187,2000,0.2,0.2,80.3346816814468,1.0048236403561
"super",49.8789573178916,-0.121042682108395,3.73863261079509,13.9773737985005,2000,0.2,0.2,80.3346816814468,0.991503114926615
"xgboost",50.0671143037762,0.0671143037762436,3.88600081914593,15.1010023664028,2000,0.2,0.2,80.3346816814468,0.917727798688379
"correct_model",50.0696555634648,0.0696555634647894,3.67595658022755,13.5126567797182,2000,0.2,0.2,80.3346816814468,1.0256021362511
"unadj",50.0455473776539,0.0455473776538858,2.57425669348671,6.62679752396115,2000,0.4,0.399999999999999,47.2971889375013,0.726997408293074
"lm",50.1172800173968,0.117280017396754,2.19491790853387,4.81766462520272,2000,0.4,0.399999999999999,47.2971889375013,1
"lm_interact",50.1138538756012,0.113853875601236,2.19229822995966,4.80617152908425,2000,0.4,0.399999999999999,47.2971889375013,1.00239132041978
"rf",50.1159942350118,0.11599423501179,2.17455433430932,4.72868655286345,2000,0.4,0.399999999999999,47.2971889375013,1.01881665687598
"bart",50.1086341233422,0.108634123342213,2.15480739259572,4.64319489918515,2000,0.4,0.399999999999999,47.2971889375013,1.03757536132032
