"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","se_method","replicate_time_sec","covered_mc_mean_95"
476,"bart","two_stage","m1",593,52.8312331966819,2.83123319668185,NA,NA,6.85179919491631,-2.18620701570256,55.0174402123844,39.4019535453453,66.2605128480184,41.5881605610479,68.4467198637209,1,1,0,1,429.583851337433,"bootstrap",433.772465705872,NA
477,"bart","two_stage","m1",632,51.6849999477348,1.68499994773478,NA,NA,5.67550014149255,1.65303465385941,50.0319652938754,40.5612240761574,62.8087758193122,38.908189422298,61.1557411654527,1,1,0,1,432.522214412689,"bootstrap",436.783289432526,NA
478,"bart","two_stage","m1",601,58.5921474955686,8.59214749556858,NA,NA,7.72675465116439,-1.64070515564085,60.2328526512094,43.447986661909,73.7363083292281,45.0886918175499,75.377013484869,1,1,0,1,421.181594133377,"bootstrap",425.320997238159,NA
479,"bart","two_stage","m1",607,68.2139235011965,18.2139235011965,NA,NA,6.8706707899698,-1.18449183830471,69.3984153395012,54.7476562032244,81.6801907991687,55.9321480415291,82.8646826374734,0,0,1,1,427.516650676727,"bootstrap",431.718774557114,NA
480,"bart","two_stage","m1",607,55.8512151805107,5.85121518051069,NA,NA,7.52154327391262,-1.27054804699705,57.1217632275077,41.1092612554825,70.5931691055389,42.3798093024795,71.8637171525359,1,1,0,1,424.57262802124,"bootstrap",428.723220348358,NA
481,"bart","two_stage","m1",620,60.868124196478,10.868124196478,NA,NA,6.81987521152177,-0.884383215118355,61.7525074115963,47.5014144028378,74.2348339901181,48.3857976179562,75.1192172052365,1,1,0,1,429.910297393799,"bootstrap",434.075332164764,NA
482,"bart","two_stage","m1",611,49.2263571346274,-0.773642865372565,NA,NA,6.18386756787023,-1.33391569629083,50.5602728309183,37.1061994164365,61.3465148528184,38.4401151127273,62.6804305491092,1,1,0,1,426.544961214066,"bootstrap",430.741114139557,NA
483,"bart","two_stage","m1",625,51.9482950779426,1.94829507794256,NA,NA,7.01267428292301,-0.558737551086196,52.5070326290288,38.2037060481032,65.6928841077819,38.7624435991894,66.2516216588681,1,1,0,1,423.704856157303,"bootstrap",428.177803516388,NA
484,"bart","two_stage","m1",600,47.5267522134293,-2.4732477865707,NA,NA,8.26187014229652,-1.92016183179405,49.4469140452234,31.3337842895813,63.7197201372773,33.2539461213754,65.6398819690713,1,1,0,1,419.031514883041,"bootstrap",423.206108808517,NA
485,"bart","two_stage","m1",617,45.9698048963681,-4.03019510363193,NA,NA,5.75602256492737,-0.367435722135724,46.3372406185038,34.6882079749106,57.2514018178256,35.0556436970463,57.6188375399613,1,1,0,1,429.243271827698,"bootstrap",433.987621545792,NA
