"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","se_method","replicate_time_sec","covered_mc_mean_95"
170,"xgboost","two_stage","m1",631,63.0906318304418,13.0906318304418,NA,NA,6.96347909157279,-8.62099879299108,71.7116306234329,49.4424636038614,76.7388000570221,58.0634623968525,85.3597988500132,1,0,0,1,170.350260972977,"bootstrap",172.107592582703,NA
171,"xgboost","two_stage","m1",616,57.1387252634788,7.13872526347885,NA,NA,7.42675630165434,-4.22225756631984,61.3609828297987,42.5825503902805,71.6949001366772,46.8048079566003,75.9171577029971,1,1,0,1,170.805147886276,"bootstrap",172.667974472046,NA
172,"xgboost","two_stage","m1",608,59.5891202644026,9.58912026440262,NA,NA,7.25063168364971,-5.56111532194836,65.150235586351,45.3781432992842,73.8000972295211,50.9392586212326,79.3612125514694,1,0,0,1,168.843084573746,"bootstrap",170.614608287811,NA
173,"xgboost","two_stage","m1",610,61.6347842600448,11.6347842600448,NA,NA,7.18193448215652,-6.97086674120748,68.6056510012523,47.5584513356917,75.7111171843979,54.5293180768992,82.6819839256054,1,0,0,1,170.380024433136,"bootstrap",172.033068418503,NA
174,"xgboost","two_stage","m1",601,51.0976217946419,1.09762179464194,NA,NA,6.16693594786794,-4.47779732268165,55.5754191173236,39.0106494418554,63.1845941474285,43.488446764537,67.6623914701101,1,1,0,1,170.983177661896,"bootstrap",172.791041135788,NA
175,"xgboost","two_stage","m1",604,47.6547451449493,-2.34525485505073,NA,NA,7.01993350483717,-7.93976112350236,55.5945062684516,33.8959283016024,61.4135619882962,41.8356894251047,69.3533231117985,1,1,0,1,170.685867547989,"bootstrap",172.464968204498,NA
176,"xgboost","two_stage","m1",597,59.5710725226667,9.57107252266668,NA,NA,6.48098329260057,-3.34388350677973,62.9149560294464,46.8685786847638,72.2735663605696,50.2124621915435,75.6174498673493,1,0,0,1,167.028655767441,"bootstrap",168.732178449631,NA
177,"xgboost","two_stage","m1",609,43.0224699794901,-6.97753002050993,NA,NA,7.16155783404193,-4.53644098162306,47.5589109611131,28.9860745515672,57.0588654074129,33.5225155331903,61.595306389036,1,1,0,1,169.619319200516,"bootstrap",171.471096754074,NA
178,"xgboost","two_stage","m1",594,54.694488427959,4.69448842795899,NA,NA,6.76054748289083,-8.44580120405456,63.1402896320135,41.4440588457201,67.9449180101979,49.8898600497746,76.3907192142525,1,1,0,1,172.317761421204,"bootstrap",174.031176805496,NA
179,"xgboost","two_stage","m1",603,55.6070478836788,5.60704788367877,NA,NA,6.94604397862227,-6.13946498403345,61.7465128677122,41.9930518505478,69.2210439168097,48.1325168345813,75.3605089008432,1,1,0,1,170.685556650162,"bootstrap",172.366053581238,NA
180,"xgboost","two_stage","m1",606,47.9581023509984,-2.04189764900157,NA,NA,6.46906302211059,-4.7522437948724,52.7103461458708,35.2789718139418,60.637232888055,40.0312156088142,65.3894766829274,1,1,0,1,170.659380197525,"bootstrap",172.466034889221,NA
181,"xgboost","two_stage","m1",612,49.6547875606087,-0.345212439391283,NA,NA,5.64470500792836,-4.54612925856498,54.2009168191737,38.5913690417163,60.7182060795012,43.1374983002812,65.2643353380662,1,1,0,1,169.039338827133,"bootstrap",170.68514418602,NA
182,"xgboost","two_stage","m1",635,69.9232957105882,19.9232957105882,NA,NA,7.20839876815389,-8.71251001262389,78.6358057232121,55.7950937388037,84.0514976823727,64.5076037514276,92.7640076949966,0,0,1,1,168.941951274872,"bootstrap",170.562379598618,NA
183,"xgboost","two_stage","m1",571,45.7366531555449,-4.26334684445509,NA,NA,6.84626742656056,-7.85671969626902,53.5933728518139,32.3182155709565,59.1550907401333,40.1749352672255,67.0118104364023,1,1,0,1,171.711050510406,"bootstrap",173.240644216537,NA
184,"xgboost","two_stage","m1",586,52.7752051131427,2.7752051131427,NA,NA,6.79085027311867,-6.19349038864447,58.9686955017872,39.4653831534261,66.0850270728593,45.6588735420706,72.2785174615037,1,1,0,1,168.007988214493,"bootstrap",169.82795548439,NA
185,"xgboost","two_stage","m1",585,55.3312721302876,5.33127213028755,NA,NA,7.74819522509917,-4.28447097832451,59.6157431086121,40.145088543908,70.5174557166671,44.4295595222325,74.8019266949916,1,1,0,1,169.984292268753,"bootstrap",171.703276872635,NA
186,"xgboost","two_stage","m1",634,61.1723966526057,11.1723966526057,NA,NA,6.7277580074706,-8.1123721131116,69.2847687657173,47.9862332612624,74.3585600439491,56.098605374374,82.4709321570607,1,0,0,1,171.126826286316,"bootstrap",173.189080953598,NA
187,"xgboost","two_stage","m1",634,62.2120900942617,12.2120900942617,NA,NA,7.76188495256382,-13.009792533847,75.2218826281087,46.9990751350932,77.4251050534301,60.0088676689402,90.4348975872771,1,0,0,1,167.340634346008,"bootstrap",168.89639878273,NA
188,"xgboost","two_stage","m1",624,50.8572854152379,0.857285415237882,NA,NA,7.39001990895013,-7.97283505659023,58.8301204718281,36.3731125486617,65.3414582818141,44.3459476052519,73.3142933384043,1,1,0,1,170.987697124481,"bootstrap",172.426068305969,NA
