"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","se_method","replicate_time_sec","covered_mc_mean_95"
77,"rf","two_stage","m1",605,54.7624311488689,4.7624311488689,NA,NA,6.29539418010381,-7.88017437351481,62.6426055223837,42.4236852873824,67.1011770103554,50.3038596608972,74.9813513838702,1,0,0,1,47.329304933548,"bootstrap",47.7984449863434,NA
78,"rf","two_stage","m1",613,60.0130070817762,10.0130070817762,NA,NA,7.05511323391657,-7.2316879854073,67.2446950671835,46.1852392364478,73.8407749271046,53.4169272218551,81.0724629125119,1,0,0,1,46.7244911193848,"bootstrap",47.2176432609558,NA
79,"rf","two_stage","m1",597,55.515688713724,5.51568871372397,NA,NA,7.04837340047165,-9.9847466639994,65.5004353777234,41.7011306992094,69.3302467282385,51.6858773632088,79.3149933922379,1,0,0,1,46.7888326644897,"bootstrap",47.2827529907227,NA
80,"rf","two_stage","m1",602,48.4854365204324,-1.51456347956759,NA,NA,6.47162999427175,-6.35825009495087,54.8436866153833,35.8012748103906,61.1695982304742,42.1595249053415,67.5278483254251,1,1,0,1,46.8938641548157,"bootstrap",47.4152808189392,NA
81,"rf","two_stage","m1",619,57.2940591575934,7.2940591575934,NA,NA,8.01261823199151,-9.91580148916398,67.2098606467574,41.589616001021,72.9985023141657,51.505417490185,82.9143038033297,1,0,0,1,47.5438508987427,"bootstrap",48.0346031188965,NA
82,"rf","two_stage","m1",616,68.1447119354892,18.1447119354892,NA,NA,7.46502354697645,-9.94637136479592,78.0910833002851,53.5135346396719,82.7758892313065,63.4599060044679,92.7222605961024,0,0,1,1,47.0625545978546,"bootstrap",47.5383739471436,NA
83,"rf","two_stage","m1",620,45.1495182518148,-4.85048174818517,NA,NA,6.73035388197735,-4.063072929655,49.2125911814698,31.9582670399299,58.3407694636998,36.0213399695849,62.4038423933548,1,1,0,1,47.9136929512024,"bootstrap",48.4054734706879,NA
84,"rf","two_stage","m1",614,44.0834616651255,-5.91653833487448,NA,NA,5.42571244068776,-4.30988568164307,48.3933473467686,33.4492606909066,54.7176626393444,37.7591463725497,59.0275483209875,1,1,0,1,47.1558413505554,"bootstrap",47.6163322925568,NA
85,"rf","two_stage","m1",622,57.9031376645228,7.90313766452277,NA,NA,7.30238745752212,-7.88759754401016,65.7907352085329,43.5907212466224,72.2155540824231,51.4783187906326,80.1031516264333,1,0,0,1,47.4464733600616,"bootstrap",47.9662408828735,NA
86,"rf","two_stage","m1",594,57.477833125811,7.47783312581097,NA,NA,7.5453766421088,-6.77464810021289,64.2524812260239,42.689166657488,72.266499594134,49.4638147577009,79.0411476943469,1,1,0,1,45.92520570755,"bootstrap",46.400486946106,NA
87,"rf","two_stage","m1",600,59.4773088325542,9.47730883255416,NA,NA,6.37172885592912,-8.51712734440807,67.9944361769622,46.9889497556785,71.9656679094298,55.5060771000866,80.4827952538379,1,0,0,1,46.6155114173889,"bootstrap",47.084615945816,NA
88,"rf","two_stage","m1",591,38.6591415343397,-11.3408584656603,NA,NA,5.95989482390673,-5.81637905243998,44.4755205867796,26.9779623278358,50.3403207408435,32.7943413802758,56.1566997932835,1,1,0,1,46.2064919471741,"bootstrap",46.6800384521484,NA
89,"rf","two_stage","m1",629,56.6237208153797,6.62372081537971,NA,NA,7.49437004353007,-7.63609772459009,64.2598185399698,41.9350254432449,71.3124161875145,49.571123167835,78.9485139121046,1,1,0,1,47.7376492023468,"bootstrap",48.3031122684479,NA
90,"rf","two_stage","m1",618,54.441978537223,4.44197853722299,NA,NA,7.42573052391482,-10.0454407076868,64.4874192449098,39.8878141514502,68.9961429229958,49.933254859137,79.0415836306826,1,1,0,1,47.9497373104095,"bootstrap",48.4532277584076,NA
91,"rf","two_stage","m1",568,52.4368173284311,2.43681732843112,NA,NA,6.62356454054136,-9.06293996317328,61.4997572916044,39.4548693796935,65.4187652771688,48.5178093428667,74.481705240342,1,1,0,1,45.4379827976227,"bootstrap",45.9212920665741,NA
92,"rf","two_stage","m1",603,58.4754466524539,8.47544665245388,NA,NA,6.32065809408488,-5.52451480368598,63.9999614561399,46.0871844294559,70.8637088754518,51.6116992331419,76.3882236791378,1,0,0,1,46.1045730113983,"bootstrap",46.5920696258545,NA
93,"rf","two_stage","m1",624,54.8520191950441,4.8520191950441,NA,NA,6.67854399864508,-4.44192855903169,59.2939477540758,41.7623134885336,67.9417249015546,46.2042420475653,72.3836534605863,1,1,0,1,47.8438591957092,"bootstrap",48.3475503921509,NA
94,"rf","two_stage","m1",602,50.2414129445262,0.241412944526246,NA,NA,6.70521931305392,-4.98724486264791,55.2286578071742,37.0994245824982,63.3834013065543,42.0866694451461,68.3706461692022,1,1,0,1,46.2008557319641,"bootstrap",46.6659181118011,NA
95,"rf","two_stage","m1",588,42.345432581015,-7.654567418985,NA,NA,6.78014608507882,-6.99620659558758,49.3416391766026,29.0565904443403,55.6342747176897,36.0527970399278,62.6304813132773,1,1,0,1,45.8133645057678,"bootstrap",46.3123552799225,NA
96,"rf","two_stage","m1",599,58.1790656498384,8.17906564983844,NA,NA,6.08806531403458,-9.18328343341547,67.3623490832539,46.2466768988031,70.1114544008737,55.4299603322186,79.2947378342892,1,0,0,1,46.1561291217804,"bootstrap",46.6353311538696,NA
97,"rf","two_stage","m1",607,56.5921147876742,6.59211478767421,NA,NA,6.83710647066238,-4.4826711978739,61.0747859855481,43.1916323467102,69.9925972286382,47.6743035445841,74.4752684265121,1,1,0,1,46.6125252246857,"bootstrap",47.1147336959839,NA
98,"rf","two_stage","m1",604,56.6405520418899,6.64055204188992,NA,NA,7.28420088719447,-9.57808247799539,66.2186345198853,42.363780646834,70.9173234369458,51.9418631248294,80.4954059149412,1,0,0,1,46.3407690525055,"bootstrap",46.8241856098175,NA
99,"rf","two_stage","m1",609,50.4389416788017,0.438941678801655,NA,NA,6.02283135051842,-5.94837608770608,56.3873177665077,38.6344091468268,62.2434742107765,44.5827852345329,68.1918502984826,1,1,0,1,46.7927124500275,"bootstrap",47.2725727558136,NA
100,"rf","two_stage","m1",601,62.7429196409831,12.7429196409831,NA,NA,7.07919785379284,-8.0812911378166,70.8242107787997,48.8679468081159,76.6178924738503,56.9492379459325,84.6991836116669,1,0,0,1,46.1786932945251,"bootstrap",46.6645529270172,NA
101,"rf","two_stage","m1",615,61.5771306374308,11.5771306374308,NA,NA,6.85209834513661,-6.10209329204528,67.6792239294761,48.1472646624366,75.0069966124251,54.2493579544819,81.1090899044704,1,0,0,1,46.4738337993622,"bootstrap",46.9459052085876,NA
102,"rf","two_stage","m1",594,52.1425051732081,2.14250517320814,NA,NA,6.57803067539921,-4.61210708443149,56.7546122576396,39.249801960226,65.0352083861903,43.8619090446575,69.6473154706217,1,1,0,1,45.8613624572754,"bootstrap",46.3454356193542,NA
103,"rf","two_stage","m1",621,53.9095923311194,3.90959233111941,NA,NA,5.77860614638177,-5.84106568375602,59.7506580148754,42.5837324033694,65.2354522588695,48.4247980871254,71.0765179426255,1,1,0,1,46.9519906044006,"bootstrap",47.4238896369934,NA
104,"rf","two_stage","m1",613,46.5518212818119,-3.44817871818809,NA,NA,6.26973137358609,-4.69422335151825,51.2460446333302,34.2633735968423,58.8402689667815,38.9575969483606,63.5344923182997,1,1,0,1,46.7737953662872,"bootstrap",47.2419900894165,NA
105,"rf","two_stage","m1",610,54.3885016149891,4.38850161498913,NA,NA,6.73049657736321,-6.42133712180689,60.809838736796,41.1969707252871,67.5800325046911,47.618307847094,74.001369626498,1,1,0,1,46.9302163124084,"bootstrap",47.4288828372955,NA
106,"rf","two_stage","m1",628,56.5653602184629,6.56536021846288,NA,NA,8.35690817924256,-8.92134196361873,65.4867021820816,40.1861211650393,72.9445992718865,49.107463128658,81.8659412355052,1,1,0,1,47.9621303081512,"bootstrap",48.5186519622803,NA
107,"rf","two_stage","m1",613,47.1965516332321,-2.80344836676793,NA,NA,6.2116565137811,-3.15166971499534,50.3482213482274,35.0219285818875,59.3711746845767,38.1735982968828,62.522844399572,1,1,0,1,46.4416484832764,"bootstrap",46.9313933849335,NA
108,"rf","two_stage","m1",617,40.0593877683198,-9.94061223168021,NA,NA,5.84736634066374,-4.79634064340163,44.8557284117214,28.5987603362071,51.5200152004325,33.3951009796087,56.3163558438341,1,1,0,1,47.0145754814148,"bootstrap",47.4987418651581,NA
109,"rf","two_stage","m1",616,59.1134765912983,9.11347659129829,NA,NA,8.36885795588105,-8.16057638409582,67.2740529753941,42.7108164060399,75.5161367765566,50.8713927901358,83.6767131606525,1,0,0,1,46.3415610790253,"bootstrap",46.8156435489655,NA
110,"rf","two_stage","m1",591,58.3229986945673,8.3229986945673,NA,NA,7.42353777054781,-10.8510850090191,69.1740837035864,43.7731320264208,72.8728653627138,54.6242170354399,83.7239503717329,1,0,0,1,45.6583275794983,"bootstrap",46.1611244678497,NA
111,"rf","two_stage","m1",601,49.2916919774119,-0.708308022588149,NA,NA,6.55971013828591,-4.61531056488847,53.9070025423003,36.4348963573492,62.1484875974745,41.0502069222377,66.763798162363,1,1,0,1,44.5423722267151,"bootstrap",45.0243978500366,NA
112,"rf","two_stage","m1",592,66.7390379985532,16.7390379985532,NA,NA,7.09659240789465,-7.0689578474591,73.8079958460123,52.8299724661194,80.6481035309871,59.8989303135785,87.7170613784462,0,0,1,1,44.3003082275391,"bootstrap",44.8034615516663,NA
113,"rf","two_stage","m1",602,39.2055555388023,-10.7944444611977,NA,NA,5.30884308133239,-4.84120336162022,44.0467589004225,28.8004142998162,49.6106967777884,33.6416176614364,54.4519001394087,0,1,1,1,44.7660300731659,"bootstrap",45.253874540329,NA
114,"rf","two_stage","m1",589,64.9249664002286,14.9249664002286,NA,NA,7.59496355408686,-4.75922121373897,69.6841876139676,50.0391113703241,79.8108214301332,54.798332584063,84.5700426438722,0,0,1,1,43.8920059204102,"bootstrap",44.3617794513702,NA
115,"rf","two_stage","m1",606,54.0062680197082,4.00626801970824,NA,NA,6.9980819357839,-7.57421560247857,61.5804836221868,40.2902794647115,67.722256574705,47.86449506719,75.2964721771836,1,1,0,1,44.9421887397766,"bootstrap",45.4188611507416,NA
116,"rf","two_stage","m1",614,43.3746009573672,-6.6253990426328,NA,NA,5.86394785611087,-5.84131332265516,49.2159142800224,31.881474352169,54.8677275625654,37.7227876748242,60.7090408852205,1,1,0,1,44.8489611148834,"bootstrap",45.3256006240845,NA
117,"rf","two_stage","m1",614,41.7181709408885,-8.28182905911154,NA,NA,7.76121588159793,-3.45243791748359,45.170608858372,26.5064673367162,56.9298745450607,29.9589052541998,60.3823124625443,1,1,0,1,45.1316373348236,"bootstrap",45.6029322147369,NA
118,"rf","two_stage","m1",598,69.7154414978348,19.7154414978348,NA,NA,8.01554655770999,-10.2606982166256,79.9761397144604,54.0052589283192,85.4256240673503,64.2659571449448,95.686322283976,0,0,1,1,44.3982560634613,"bootstrap",44.8448138237,NA
119,"rf","two_stage","m1",599,40.7791960815086,-9.22080391849139,NA,NA,6.5819794506652,-9.77030799411118,50.5495040756198,27.8787534112221,53.6796387517951,37.6490614053333,63.4499467459063,1,1,0,1,44.3700847625732,"bootstrap",44.8478038311005,NA
120,"rf","two_stage","m1",613,41.146636550976,-8.85336344902399,NA,NA,6.42306181284749,-3.12413028334578,44.2707668343218,28.5576667273204,53.7356063746316,31.6817970106662,56.8597366579774,1,1,0,1,45.2273850440979,"bootstrap",45.7373623847961,NA
121,"rf","two_stage","m1",621,71.8329033964078,21.8329033964078,NA,NA,8.1407655709636,-8.09992623441418,79.9328296308219,55.8772960707355,87.7885107220801,63.9772223051496,95.8884369564942,0,0,1,1,46.9218444824219,"bootstrap",47.4233152866364,NA
122,"rf","two_stage","m1",596,46.7098068792633,-3.29019312073667,NA,NA,6.12780067568855,-5.02628538437401,51.7360922636373,34.6995382504736,58.7200755080531,39.7258236348476,63.7463608924271,1,1,0,1,45.8823742866516,"bootstrap",46.3467736244202,NA
123,"rf","two_stage","m1",617,63.1708137920693,13.1708137920693,NA,NA,7.68945464904713,-8.2394641118412,71.4102779039105,48.0997596191828,78.2418679649557,56.339223731024,86.4813320767969,1,0,0,1,46.7665779590607,"bootstrap",47.2410435676575,NA
124,"rf","two_stage","m1",610,50.4375216127746,0.437521612774631,NA,NA,6.8839359583412,-6.14598626034321,56.5835078731178,36.9452550625457,63.9297881630036,43.0912413228889,70.0757744233468,1,1,0,1,47.2152330875397,"bootstrap",47.6815156936646,NA
125,"rf","two_stage","m1",590,55.0486902571406,5.04869025714059,NA,NA,6.26102719401466,-8.52326555573393,63.5719558128745,42.777302450646,67.3200780636352,51.3005680063799,75.8433436193691,1,0,0,1,44.9175775051117,"bootstrap",45.4042909145355,NA
126,"rf","two_stage","m1",595,44.412519345821,-5.58748065417903,NA,NA,6.29896210283468,-7.35440177932901,51.76692112515,32.0667804842823,56.7582582073596,39.4211822636113,64.1126599866886,1,1,0,1,45.9143176078796,"bootstrap",46.4035954475403,NA
127,"rf","two_stage","m1",607,48.1993048288022,-1.80069517119777,NA,NA,6.4170262472969,-5.51727812162867,53.7165829504309,35.6221644962521,60.7764451613524,41.1394426178808,66.293723282981,1,1,0,1,46.3421673774719,"bootstrap",46.8076689243317,NA
128,"rf","two_stage","m1",591,59.7435640421813,9.7435640421813,NA,NA,7.60079466414361,-6.5288464655946,66.2724105077759,44.8462802465756,74.640847837787,51.3751267121702,81.1696943033816,1,0,0,1,45.7476782798767,"bootstrap",46.2354428768158,NA
129,"rf","two_stage","m1",605,51.5377327114851,1.5377327114851,NA,NA,8.10163451408847,-7.68442652540947,59.2221592368946,35.658820847965,67.4166445750052,43.3432473733745,75.1010711004146,1,1,0,1,45.6012415885925,"bootstrap",46.0695984363556,NA
130,"rf","two_stage","m1",590,52.9282174775,2.92821747750001,NA,NA,6.42872327931539,-9.98276576844724,62.9109832459473,40.3281513834676,65.5282835715324,50.3109171519149,75.5110493399796,1,0,0,1,45.1867966651917,"bootstrap",45.6938810348511,NA
131,"rf","two_stage","m1",609,53.2945543542917,3.29455435429166,NA,NA,7.62783919633619,-9.72286544064526,63.0174197949369,38.3442642496098,68.2448444589735,48.0671296902551,77.9677098996188,1,1,0,1,45.7727525234222,"bootstrap",46.2543776035309,NA
132,"rf","two_stage","m1",612,45.5097979586749,-4.49020204132507,NA,NA,7.56718225963443,-11.9968395881425,57.5066375468174,30.678393265341,60.3412026520088,42.6752328534835,72.3380422401513,1,1,0,1,46.7838785648346,"bootstrap",47.2579870223999,NA
